상품명,3차 카테고리.1,식품유형,용도,추가방향,중량 수치,묶음수량,총중량,10g당 가격,Unnamed: 13,중량 수치.1,중량 단위,수량,수량 단위,가격,평점,리뷰 수,Unnamed: 21,Unnamed: 22,상품명.1
동원 자연산꽁치 400g x 3캔,고등어/꽁치통조림,,,,,,,,,400,g,3,캔,13000,4.9,271,,,동원참치 고추참치 250g x 10캔
동원참치 매운고추참치 150g x 10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.9,251,,,동원참치 고추참치 150g x 20캔
동원참치 살코기 라이트스탠다드 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,5,250,,,동원참치 살코기 라이트스탠다드 85g x 60캔(1박스)
동원참치 김치찌개용 150g x 10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.9,245,,,동원참치 살코기 라이트스탠다드 100g x 3캔
동원 리챔 200g x 6캔,햄/닭가슴살,,,,,,,,,200,g,6,캔,17400,5,226,,,"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔"
동원 Dole 파인애플 432g,과일/옥수수/팥,,,,,,,,,432,g,,,2800,4.9,226,,,동원참치 고추참치 85g
동원참치 야채참치 150g x 10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.9,216,,,동원참치 고추참치 150g x 10캔
동원 양반 야채죽 287g x 24개,죽/스프,,,,,,,,,287,g,24,개,37900,5,214,,,동원참치 DHA 150g x 48캔 (1박스)
동원 리챔 340g,햄/닭가슴살,,,,,,,,,340,g,,,4500,4.9,208,,,동원라이트스탠다드참치 135gx12캔 +고추참치 85gx3캔
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,4.8,206,,,동원참치 살코기 라이트스탠다드 100g x 5캔
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,,,,,,,,,500,g,,,26000,4.9,205,,,동원참치 고추참치 85g x 5캔
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,,,,,,,,,432,g,,,2800,4.8,198,,,동원참치 살코기 인 워터 100g x 20캔
"동원참치 85g 2종(LS12,고추8) 총20캔+(증정)콘참치 2캔",참치/연어통조림,,,,,,,,,85,g,2,,32000,5,192,,,동원참치 스프레드 고소마요 100g x 10캔
동원참치 고추참치 100g,참치/연어통조림,,,,,,,,,100,g,,,2100,5,185,,,동원참치 살코기 인 워터 100g x 10캔
동원참치 살코기 라이트스탠다드 135gx10캔,참치/연어통조림,,,,,,,,,135,g,10,캔,22500,4.9,184,,,[2%적립금] 동원참치 라이트스탠다드 1880g
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g (4인용),아이반찬,,,,,,,,,340,g,,,4800,4.9,182,,,동원참치 고추참치 100g x 3캔
동원참치 살코기 라이트스탠다드 100g,참치/연어통조림,,,,,,,,,100,g,,,2100,5,180,,,동원참치 고추참치 100g x 5캔
동원 고등어 400g,고등어/꽁치통조림,,,,,,,,,400,g,,,3200,4.9,172,,,동원참치 야채참치 150g x 3캔
동원 리챔 340g x 12캔,햄/닭가슴살,,,,,,,,,340,g,12,캔,49000,5,172,,,동원참치 맛참 고소참기름 90g x 20캔
동원참치 김치찌개용 250g x 10캔,참치/연어통조림,,,,,,,,,250,g,10,캔,35000,5,169,,,동원참치 고추참치 150g x 3캔
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,22900,4.9,168,,,동원 마일드참치 150gx10캔
동원 양반 단호박죽 285g x 24개,죽/스프,,,,,,,,,285,g,24,개,37900,4.9,168,,,동원참치 야채참치 150g x 5캔
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,,,,,,,,,400,g,12,캔,44400,5,167,,,동원참치 살코기 라이트스탠다드 85g x 3캔
동원참치 DHA 250g x 10캔,참치/연어통조림,,,,,,,,,250,g,10,캔,35000,4.9,165,,,동원참치 콘참치 85g x 10캔
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,,,,,,,,,400,g,5,캔,20500,4.9,159,,,동원참치 김치찌개용 150g x 3캔
동원 양반 수라 왕갈비탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4900,4.7,159,,,동원참치 매운고추참치 150g
동원참치 고추참치 150g x 20캔,참치/연어통조림,,,,,,,,,150,g,20,캔,49200,4.9,158,,,동원참치 김치찌개용 150g x 5캔
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",참치/연어통조림,,,,,,,,,"85, 200","g, g","2, 2",", 캔",33900,5,155,,,동원참치 DHA 250g
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",햄/닭가슴살,,,,,,,,,"85, 200","g, g","2, 2",", 캔",33900,5,155,,,동원참치 고추참치 250g x 20캔
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,,,,,,,,,500,g,,,1600,4.9,154,,,동원참치 고추참치 250g x 5캔
동원참치 고추참치 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,5,150,,,동원참치 매운고추참치 150g x 3캔
동원참치 살코기 라이트스탠다드 250g x 3캔,참치/연어통조림,,,,,,,,,250,g,3,캔,10800,4.9,148,,,동원참치 동원맛참 고소참기름 135g x 10캔
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,2300,4.9,147,,,동원참치 김치찌개용 250g x 3캔
동원 양반 단호박죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,23900,4.9,147,,,동원참치 뽀로로 키즈 100g x 10캔
동원참치 고추참치 250g x 10캔,참치/연어통조림,,,,,,,,,250,g,10,캔,35000,4.9,146,,,동원참치 DHA 150g x 10캔
[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스),햄/닭가슴살,,,,,,,,,135,g,48,개,75000,5,140,,,동원참치 김치찌개용 150g
동원 양반 전복죽 287g x 4개,죽/스프,,,,,,,,,287,g,4,개,8600,4.9,136,,,[4%적립금] 동원참치 라이트스탠다드 250g x 36개(1박스)
동원 고등어 400g x 12캔,고등어/꽁치통조림,,,,,,,,,400,g,12,캔,26000,4.9,135,,,동원참치 매운고추참치 150g x 5캔
동원 자연산골뱅이 400g,골뱅이/수산통조림,,,,,,,,,400,g,,,9280,4.9,133,,,동원참치 맛참 매콤참기름 90g x 20캔
동원 양반 들깨닭죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,12900,4.9,129,,,동원참치 고추참치 250g x 3캔
동원 양반 밤단팥죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,23900,5,129,,,동원참치 DHA 150g
동원참치 살코기 라이트스탠다드 100g x 3캔,참치/연어통조림,,,,,,,,,100,g,3,캔,5300,5,126,,,동원참치 김치찌개용 150g x 20캔
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,,,,,,,,,400,g,24,개,79000,5,126,,,동원참치 동원맛참 매콤참기름 135g
동원참치 살코기 라이트스탠다드 85g,참치/연어통조림,,,,,,,,,85,g,,,2200,4.9,125,,,동원참치 콘참치 85g
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,,,,,,,,,340,g,24,캔,29500,5,125,,,동원참치 포도씨유 150g
동원 양반 밤단팥죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,10900,4.9,123,,,동원참치 김치찌개용 250g x 20캔
동원참치 고추참치 150g x 10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.7,122,,,동원참치 맛참 고소참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔
동원 고등어 400g x 9캔,고등어/꽁치통조림,,,,,,,,,400,g,9,캔,20000,5,122,,,동원참치 라이트스탠다드 85g x 15캔+150g x 5캔
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,,,,,,,,,400,g,12,캔,26000,4.9,122,,,동원참치 루피는 참치마요 100g x 10캔
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,,,,,,,,,400,g,24,개,45900,5,121,,,동원참치 DHA 250g x 15캔
동원참치 살코기 라이트스탠다드 85g x 60캔(1박스),참치/연어통조림,,,,,,,,,85,g,60,캔,91200,5,120,,,동원참치 DHA 150g x 5캔
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,,,,,,,,,340,g,,,1480,4.9,118,,,동원참치 루피는 참치마요 100g x 3캔
동원 자연산골뱅이 230g,골뱅이/수산통조림,,,,,,,,,230,g,,,6480,4.9,117,,,"동원참치 맛참 매콤참기름 90gx10개 + 135gx4개, 총 14캔"
동원 자연산꽁치 400g x 6캔,고등어/꽁치통조림,,,,,,,,,400,g,6,캔,25800,5,116,,,[4%적립금] 동원참치 DHA 250g x 36개(1박스)
동원참치 고추참치 85g x 5캔,참치/연어통조림,,,,,,,,,85,g,5,캔,9400,5,115,,,동원참치 고추참치 250g
동원 양반 쇠고기죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,23900,5,114,,,동원참치 매운고추참치 150g x 20캔
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15900,4.9,112,,,동원참치 마일드참치 200g
[치킨에 좋은] 비비드키친 저칼로리 양념치킨소스 290g+스위트칠리소스 280g+숯불매콤소스 290g,기타양념,,,,,,,,,"290, 280, 290","g, g, g",", , ",", , ",10900,5,112,,,동원참치 맛참 매콤참기름 135gx10캔 + (증정)라이트스탠다드 참치 135gx2캔
동원 양반 전복죽 287g,죽/스프,,,,,,,,,287,g,,,2500,4.9,111,,,"동원참치 맛참 고소참기름 90gx10개 + 135gx4개, 총 14캔"
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,4.9,110,,,동원참치 동원맛참 매콤참기름 135g x 10캔
동원참치 살코기 라이트스탠다드 85g x 5캔,참치/연어통조림,,,,,,,,,85,g,5,캔,9200,5,107,,,[동원선물세트] 진호
동원참치 고추참치 85g,참치/연어통조림,,,,,,,,,85,g,,,2200,5,105,,,[참치24캔] 동원참치 살코기 85gx12캔+고추참치 100gx12캔
동원참치 DHA 150g x 48캔 (1박스),참치/연어통조림,,,,,,,,,150,g,48,캔,103000,5,105,,,동원참치 튜나페 고소마요 129g(스프레드 100g+아이비 29g) x 5개
동원 양반 쇠고기죽 287g x 4개,죽/스프,,,,,,,,,287,g,4,개,7600,4.9,105,,,"[체험팩] 동원참치 가미참치 90g 3종(불/짜장/카레) 각 3개, 총 9개"
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,4.9,104,,,동원참치 야채참치 150g x 20캔
동원 양반 단호박죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,10900,4.8,103,,,동원참치 동원맛참 고소참기름 135g
동원 양반 밤단팥죽 285g x 4개,죽/스프,,,,,,,,,285,g,4,개,7600,4.9,103,,,동원참치 스프레드 고소마요 100gx4입
동원 고등어 400g x 6캔,고등어/꽁치통조림,,,,,,,,,400,g,6,캔,13800,4.8,101,,,"동원 참치 85g 2종 (라이트스탠다드10,고추5)+리챔 200g x 3개"
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,12000,4.9,101,,,동원참치 불참치 90g
동원 양반 수라 부대찌개 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,5500,4.8,100,,,동원 고추참치 90g x 20캔
동원 양반 단호박죽 285g x 12개,죽/스프,,,,,,,,,285,g,12,개,19900,4.9,99,,,동원참치 튜나페 고소마요 129g (스프레드 100g+아이비 29g)
동원 양반 차돌 육개장 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.9,98,,,동원참치 김치찌개용 250g x 15캔
동원참치 살코기 인 워터 100g x 20캔,참치/연어통조림,,,,,,,,,100,g,20,캔,34490,5,97,,,동원참치 DHA 150g x 3캔
동원참치 동원맛참 고소참기름 90g,참치/연어통조림,,,,,,,,,90,g,,,2000,4.9,95,,,동원참치 카레참치 90g
동원 양반 보양 삼계탕 900g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,900,g,,,28400,4.8,95,,,[순진500] 동원 참치액 500g 순+진
동원참치 살코기 라이트스탠다드 100g x 5캔,참치/연어통조림,,,,,,,,,100,g,5,캔,9500,4.9,92,,,동원참치 살코기 인 워터 100g x 3캔
동원 양반 수라 왕갈비탕 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,14600,4.8,92,,,동원참치 마일드참치 200g x 15캔
동원참치 동원맛참 매콤참기름 90g,참치/연어통조림,,,,,,,,,90,g,,,2200,4.9,91,,,동원참치 콘참치 85g x 5캔
양반 용기죽 쇠고기죽 287g + 야채죽 287g+ 전복죽 287g (4개씩 총 12개),죽/스프,,,,,,,,,"287, 287, 287","g, g, g",", , ",", , ",22900,5,91,,,동원참치 김치찌개용 250g x 5캔
동원참치 고추참치 85g x 3캔,참치/연어통조림,,,,,,,,,85,g,3,캔,6000,4.9,88,,,동원참치 스프레드 갈릭마요 100g
동원라이트스탠다드참치 135gx12캔 +고추참치 85gx3캔,참치/연어통조림,,,,,,,,,"135, 85","g, g","12, 3","캔, 캔",25000,4.9,87,,,동원참치 마일드참치 200gx5캔
동원참치 스프레드 고소마요 100g x 10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,20000,5,83,,,동원참치 포도씨유 150gx10캔
동원 양반 수라 왕갈비탕 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,23900,4.9,82,,,동원참치 야채참치 90gx10캔
동원 양반 백합 미역국 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,4.9,81,,,동원참치 마일드참치 200g x 3캔
동원 양반 전통잣죽 285g x 24개,죽/스프,,,,,,,,,285,g,24,개,49800,4.9,81,,,동원참치 스프레드 체다치즈 100g
동원 양반 백합우거지된장국 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,12000,4.8,80,,,동원참치 스프레드 갈릭마요 100gx10캔
동원 양반 단호박죽 285g x 4개,죽/스프,,,,,,,,,285,g,4,개,7600,4.9,80,,,동원 마일드참치 150g x 3캔
[1+1]동원 참치액 진 240g,동원참치액,,,,,,,,,240,g,,,3980,4.9,80,,,[사조] 마일드참치(안심따개) 85g X 10캔 /참치캔/통조림
동원맛참 마요참기름 135g,참치/연어통조림,,,,,,,,,135,g,,,2880,4.9,79,,,동원참치 루피는 참치마요 100g
동원 화끈한 골뱅이 400gx3캔,골뱅이/수산통조림,,,,,,,,,400,g,3,캔,26900,4.9,77,,,동원참치 살코기 라이트스탠다드 135gx3캔
동원 양반 쇠고기죽 287g,죽/스프,,,,,,,,,287,g,,,2200,5,77,,,동원참치 마이플랜트 레드고추 100g
동원참치 살코기 인 워터 100g x 10캔,참치/연어통조림,,,,,,,,,100,g,10,캔,19900,4.9,76,,,동원 고추참치 90g
동원 양반 영양닭죽 285g x 24개,죽/스프,,,,,,,,,285,g,24,개,42900,4.9,76,,,[사조] 고추참치(안심따개) 150g X 1캔 /참치캔/통조림
동원 양반 단호박죽 420g x 20개,죽/스프,,,,,,,,,420,g,20,개,45550,5,74,,,[사조] 고추참치(안심따개) 85g X 6캔 /참치캔/통조림
동원 양반 소고기 미역국 460g (1~2인분),국/탕/찌개,,,,,,,,,460,g,,,4300,5,73,,,동원참치 뽀로로 키즈 100g
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,25900,5,73,,,동원참치 튜나페 갈릭마요 129g (아이비29g+스프레드참치100g)
동원 떡볶이의신 신당동 즉석쫄볶이 397g (2인분),떡볶이/떡류,,,,,,,,,397,g,,,4980,4.9,73,,,[사조] 살코기플러스참치(안심따개) 100g X 6캔 /참치캔/통조림
동원참치 맛참 고소참기름 90g x 20캔,참치/연어통조림,,,,,,,,,90,g,20,캔,37000,5,72,,,[사조] 살코기참치(안심따개) 85g X 6캔 /참치캔/통조림
동원 양반 단호박죽 420g,죽/스프,,,,,,,,,420,g,,,3200,4.9,71,,,동원참치 살코기 인 워터 100g x 5캔
동원 양반 영양닭죽 285g x 4개,죽/스프,,,,,,,,,285,g,4,개,7600,4.9,71,,,동원참치 DHA 250g x 5캔
동원 고등어 400g x 3캔,고등어/꽁치통조림,,,,,,,,,400,g,3,캔,7500,4.8,70,,,동원참치 야채참치 90g
동원 리챔 340g x 9캔,햄/닭가슴살,,,,,,,,,340,g,9,캔,36900,5,70,,,[맛참비빔면] 동원참치 맛참 90g 2종(고소/매콤) 각 2개 + 농심 배홍동 비빔면 548g(137gx4입)
동원 양반 수라 부대찌개 460g (1~2인분) x 3개,국/탕/찌개,,,,,,,,,460,g,,,15000,4.8,70,,,[사조] 사조참치 간장버터 참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 양반 쇠고기죽 420g,죽/스프,,,,,,,,,420,g,,,3300,4.9,70,,,[사조] 사조참치 토마토커리 참치(안심따개) 100g X 6캔 /참치캔/통조림
동원 양반 참치죽 287g x 24개,죽/스프,,,,,,,,,287,g,24,개,37900,4.9,70,,,[사조] 살코기플러스참치(안심따개) 150g X 1캔 /참치캔/통조림
동원 구운소금 210g,소금,,,,,,,,,210,g,,,2900,4.9,70,,,[사조] 고추참치(안심따개) 85g X 1캔 /참치캔/통조림
동원참치 고추참치 100g x 3캔,참치/연어통조림,,,,,,,,,100,g,3,캔,5300,4.9,67,,,[사조] 살코기참치(안심따개) 100g X 6캔 /참치캔/통조림
[4%적립금] 동원 자연산왕골뱅이 400g x 24개(1박스),골뱅이/수산통조림,,,,,,,,,400,g,24,개,179000,5,67,,,[사조] 찌개참치(안심따개) 85g X 6캔 /참치캔/통조림
동원 복숭아 백도 400g,과일/옥수수/팥,,,,,,,,,400,g,,,2800,4.9,67,,,[사조] 마일드참치(안심따개) 85g X 6캔 /참치캔/통조림
동원 리챔 200g x 3캔,햄/닭가슴살,,,,,,,,,200,g,3,캔,8900,4.9,66,,,동원참치 살코기 라이트스탠다드 135gx5개
동원참치 야채참치 150g x 5캔,참치/연어통조림,,,,,,,,,150,g,5,캔,13500,5,64,,,동원참치 살코기 라이트스탠다드 90g
동원참치 불참치 90g x 10개,참치/연어통조림,,,,,,,,,90,g,10,개,20000,5,64,,,[사조] 프리미엄 통살참치 트러플 100g X 4캔
[2%적립금] 동원참치 라이트스탠다드 1880g,참치/연어통조림,,,,,,,,,1880,g,,,19000,4.9,63,,,[동원] 양반 100밥 현미밥 130g x 24개 + 동원맛참 매콤참기름 135g x 6캔
동원참치 고추참치 100g x 5캔,참치/연어통조림,,,,,,,,,100,g,5,캔,9500,5,63,,,동원참치 살코기 라이트스탠다드 150g x 10캔 + 양반 100밥 현미밥 130g x 12개
동원 떡볶이의신 학교앞 국물떡볶이 372g (2인분),떡볶이/떡류,,,,,,,,,372,g,,,4980,4.5,63,,,[동원] 동원 참치뱃살 깊은간장맛 135gx10캔
동원참치 고추참치 150g x 3캔,참치/연어통조림,,,,,,,,,150,g,3,캔,8200,5,61,,,한성 참치 선물세트 한성7B호 설 추석 명절
동원 자연산골뱅이 매실청 140g x 10캔,골뱅이/수산통조림,,,,,,,,,140,g,10,캔,32800,5,61,,,동원참치 살코기 라이트스탠다드 90gx5캔
동원 양반 진국 소고기무국 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.9,60,,,동원 고추참치 90g x 3캔
동원참치 야채참치 150g x 3캔,참치/연어통조림,,,,,,,,,150,g,3,캔,8200,4.9,59,,,오늘좋은 살코기참치 기획 90Gx12입
동원참치 살코기 라이트스탠다드 85g x 3캔,참치/연어통조림,,,,,,,,,85,g,3,캔,5100,5,58,,,오늘좋은 살코기참치 90Gx4입
동원 리챔 순닭가슴살 135g x 24개(1/2박스),햄/닭가슴살,,,,,,,,,135,g,24,개,45600,5,58,,,[4%적립금] 동원참치 루피는 참치마요 100g x 60개(1박스)
동원 양반 수라 차돌육개장 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,24000,4.9,58,,,[고소비빔면] 동원참치 맛참 고소참기름 135gx2개 + 농심 배홍동 비빔면 548g(137gx4입)
동원 초밥의달인 롤유부초밥(고소한맛) 254g x 2개,아이반찬,,,,,,,,,254,g,2,개,9900,4.9,58,,,[맛참비빔면] 동원참치 맛참 135g 2종(고소/매콤) 각 1개 + 농심 배홍동 비빔면 548g(137gx4입)
동원 마일드참치 150gx10캔,참치/연어통조림,,,,,,,,,150,g,10,캔,27000,4.9,56,,,[사조] 프리미엄 통살참치 알바코 100g X 4캔
동원참치 김치찌개용 250g,참치/연어통조림,,,,,,,,,250,g,,,3700,5,56,,,[사조] 프리미엄 통살참치 트러플 100g X 8캔
동원참치 콘참치 85g x 20캔,참치/연어통조림,,,,,,,,,85,g,20,캔,30800,5,56,,,[사조] 프리미엄 통살참치 마라 100g X 4캔
동원 양반 캔볶음김치 160g x 10캔,반찬/기타통조림,,,,,,,,,160,g,10,캔,18500,4.9,56,,,[사조] 프리미엄 통살참치 황다랑어 100g X 4캔
동원 양반 단호박죽 285g,죽/스프,,,,,,,,,285,g,,,2100,4.9,56,,,[사조] 생생참치 오리지널 115g X 12캔
동원 양반 버섯 야채죽 420g x 10개,죽/스프,,,,,,,,,420,g,10,개,23900,4.9,56,,,[사조] 사조참치 토마토커리 참치(안심따개) 100g X 1캔 /참치캔/통조림
동원참치 야채참치 150g,참치/연어통조림,,,,,,,,,150,g,,,2800,4.9,55,,,[사조] 사조참치 고추할라피뇨 참치(안심따개) 100g X 24캔 /참치캔/통조림
동원 양반 쇠고기죽 420g x 4개,죽/스프,,,,,,,,,420,g,4,개,11900,4.9,55,,,[사조] 사조참치 고추할라피뇨 참치(안심따개) 100g X 48캔 /참치캔/통조림
동원 초밥의달인 큰사각유부초밥 378g,아이반찬,,,,,,,,,378,g,,,6280,4.9,55,,,[사조] 사조참치 토마토커리 참치(안심따개) 100g X 12캔 /참치캔/통조림
동원참치 살코기 라이트스탠다드 135gx20캔,참치/연어통조림,,,,,,,,,135,g,20,캔,42000,4.9,54,,,[사조] 생생참치 오리지널 115g X 1캔
동원 고등어 300g x 3캔,고등어/꽁치통조림,,,,,,,,,300,g,3,캔,6900,4.8,54,,,[사조] 마일드참치 250g X 1캔 /참치캔/통조림
동원 양반 캔볶음김치 160g,반찬/기타통조림,,,,,,,,,160,g,,,1980,4.9,54,,,[사조] 프리미엄 통살참치 알바코 100g X 1캔
동원 양반 소고기 미역국 460g (1~2인분) x 5개,국/탕/찌개,,,,,,,,,460,g,,,19300,4.9,54,,,[사조] 야채참치(안심따개) 150g X 1캔 /참치캔/통조림
