상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.9,101,460.0,3.0,1380.0,86.96
동원 양반 수라 부대찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.8,100,460.0,1.0,460.0,119.57
동원 양반 단호박죽 285g x 12개,죽/스프,즉석조리식품,간편식사,19900,4.9,99,285.0,12.0,3420.0,58.19
동원 양반 차돌 육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,98,460.0,5.0,2300.0,83.91
동원참치 살코기 인 워터 100g x 20캔,참치/연어통조림,통조림,반찬/주재료,34490,5.0,97,100.0,20.0,2000.0,172.45
동원참치 동원맛참 고소참기름 90g,참치/연어통조림,통조림,반찬/주재료,2000,4.9,95,90.0,1.0,90.0,222.22
동원 양반 보양 삼계탕 900g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,28400,4.8,95,900.0,3.0,2700.0,105.19
동원참치 살코기 라이트스탠다드 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,4.9,92,100.0,5.0,500.0,190.0
동원 양반 수라 왕갈비탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,14600,4.8,92,460.0,3.0,1380.0,105.8
동원참치 동원맛참 매콤참기름 90g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,91,90.0,1.0,90.0,244.44
양반 용기죽 쇠고기죽 287g + 야채죽 287g+ 전복죽 287g (4개씩 총 12개),죽/스프,즉석조리식품,간편식사,22900,5.0,91,,,,
동원참치 고추참치 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,6000,4.9,88,85.0,3.0,255.0,235.29
동원라이트스탠다드참치 135gx12캔 +고추참치 85gx3캔,참치/연어통조림,통조림,반찬/주재료,25000,4.9,87,,,,
동원참치 스프레드 고소마요 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,20000,5.0,83,100.0,10.0,1000.0,200.0
동원 양반 수라 왕갈비탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,23900,4.9,82,460.0,5.0,2300.0,103.91
동원 양반 백합 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,81,460.0,1.0,460.0,93.48
동원 양반 전통잣죽 285g x 24개,죽/스프,즉석조리식품,간편식사,49800,4.9,81,285.0,24.0,6840.0,72.81
동원 양반 백합우거지된장국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.8,80,460.0,3.0,1380.0,86.96
동원 양반 단호박죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,80,285.0,4.0,1140.0,66.67
[1+1]동원 참치액 진 240g,동원참치액,소스,조미료,3980,4.9,80,,,,
동원맛참 마요참기름 135g,참치/연어통조림,통조림,반찬/주재료,2880,4.9,79,135.0,1.0,135.0,213.33
동원 화끈한 골뱅이 400gx3캔,골뱅이/수산통조림,통조림,안주/반찬,26900,4.9,77,400.0,3.0,1200.0,224.17
동원 양반 쇠고기죽 287g,죽/스프,즉석조리식품,간편식사,2200,5.0,77,287.0,1.0,287.0,76.66
동원참치 살코기 인 워터 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,19900,4.9,76,100.0,10.0,1000.0,199.0
동원 양반 영양닭죽 285g x 24개,죽/스프,즉석조리식품,간편식사,42900,4.9,76,285.0,24.0,6840.0,62.72
동원 양반 단호박죽 420g x 20개,죽/스프,즉석조리식품,간편식사,45550,5.0,74,420.0,20.0,8400.0,54.23
동원 양반 소고기 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,5.0,73,460.0,1.0,460.0,93.48
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,25900,5.0,73,460.0,5.0,2300.0,112.61
동원 떡볶이의신 신당동 즉석쫄볶이 397g (2인분),떡볶이/떡류,떡류,간식,4980,4.9,73,397.0,1.0,397.0,125.44
동원참치 맛참 고소참기름 90g x 20캔,참치/연어통조림,통조림,반찬/주재료,37000,5.0,72,90.0,20.0,1800.0,205.56
동원 양반 단호박죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,71,420.0,1.0,420.0,76.19
동원 양반 영양닭죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,71,285.0,4.0,1140.0,66.67
동원 고등어 400g x 3캔,고등어/꽁치통조림,통조림,반찬,7500,4.8,70,400.0,3.0,1200.0,62.5
동원 리챔 340g x 9캔,햄/닭가슴살,가공육,반찬/주재료,36900,5.0,70,340.0,9.0,3060.0,120.59
동원 양반 수라 부대찌개 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.8,70,460.0,3.0,1380.0,108.7
동원 양반 쇠고기죽 420g,죽/스프,즉석조리식품,간편식사,3300,4.9,70,420.0,1.0,420.0,78.57
동원 양반 참치죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,70,287.0,24.0,6888.0,55.02
동원 구운소금 210g,소금,양념,조미료,2900,4.9,70,210.0,1.0,210.0,138.1
동원참치 고추참치 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,4.9,67,100.0,3.0,300.0,176.67
[4%적립금] 동원 자연산왕골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,179000,5.0,67,400.0,24.0,9600.0,186.46
동원 복숭아 백도 400g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,67,400.0,1.0,400.0,70.0
동원 리챔 200g x 3캔,햄/닭가슴살,가공육,반찬/주재료,8900,4.9,66,200.0,3.0,600.0,148.33
동원참치 야채참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,64,150.0,5.0,750.0,180.0
동원참치 불참치 90g x 10개,참치/연어통조림,통조림,반찬/주재료,20000,5.0,64,90.0,10.0,900.0,222.22
[2%적립금] 동원참치 라이트스탠다드 1880g,참치/연어통조림,통조림,반찬/주재료,19000,4.9,63,1880.0,1.0,1880.0,101.06
동원참치 고추참치 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,5.0,63,100.0,5.0,500.0,190.0
동원 떡볶이의신 학교앞 국물떡볶이 372g (2인분),떡볶이/떡류,떡류,간식,4980,4.5,63,372.0,1.0,372.0,133.87
동원참치 고추참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,61,150.0,3.0,450.0,182.22
동원 자연산골뱅이 매실청 140g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,32800,5.0,61,140.0,10.0,1400.0,234.29
동원 양반 진국 소고기무국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,60,460.0,5.0,2300.0,83.91
동원참치 야채참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,4.9,59,150.0,3.0,450.0,182.22
동원참치 살코기 라이트스탠다드 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,5100,5.0,58,85.0,3.0,255.0,200.0
동원 리챔 순닭가슴살 135g x 24개(1/2박스),햄/닭가슴살,가공육,반찬/주재료,45600,5.0,58,135.0,48.0,6480.0,70.37
동원 양반 수라 차돌육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.9,58,460.0,5.0,2300.0,104.35
동원 초밥의달인 롤유부초밥(고소한맛) 254g x 2개,아이반찬,반찬,반찬,9900,4.9,58,254.0,2.0,508.0,194.88
동원 마일드참치 150gx10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,56,150.0,10.0,1500.0,180.0
동원참치 김치찌개용 250g,참치/연어통조림,통조림,반찬/주재료,3700,5.0,56,250.0,1.0,250.0,148.0
동원참치 콘참치 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,30800,5.0,56,85.0,20.0,1700.0,181.18
동원 양반 캔볶음김치 160g x 10캔,반찬/기타통조림,반찬,반찬,18500,4.9,56,160.0,10.0,1600.0,115.62
동원 양반 단호박죽 285g,죽/스프,즉석조리식품,간편식사,2100,4.9,56,285.0,1.0,285.0,73.68
동원 양반 버섯 야채죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,56,420.0,10.0,4200.0,56.9
동원참치 야채참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,4.9,55,150.0,1.0,150.0,186.67
동원 양반 쇠고기죽 420g x 4개,죽/스프,즉석조리식품,간편식사,11900,4.9,55,420.0,4.0,1680.0,70.83
동원 초밥의달인 큰사각유부초밥 378g,아이반찬,반찬,반찬,6280,4.9,55,378.0,1.0,378.0,166.14
동원참치 살코기 라이트스탠다드 135gx20캔,참치/연어통조림,통조림,반찬/주재료,42000,4.9,54,135.0,20.0,2700.0,155.56
동원 고등어 300g x 3캔,고등어/꽁치통조림,통조림,반찬,6900,4.8,54,300.0,3.0,900.0,76.67
동원 양반 캔볶음김치 160g,반찬/기타통조림,반찬,반찬,1980,4.9,54,160.0,1.0,160.0,123.75
동원 양반 소고기 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,54,460.0,5.0,2300.0,83.91
동원 양반 밤단팥죽 285g,죽/스프,즉석조리식품,간편식사,2200,4.9,54,285.0,1.0,285.0,77.19
동원 미니파인애플 234g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,37000,5.0,53,234.0,24.0,5616.0,65.88
동원 양반 전복죽 420g,죽/스프,즉석조리식품,간편식사,3400,4.9,53,420.0,1.0,420.0,80.95
동원참치 콘참치 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,16600,5.0,52,85.0,10.0,850.0,195.29
동원 꽁치 230g x 6캔,고등어/꽁치통조림,통조림,반찬,18600,4.9,52,230.0,6.0,1380.0,134.78
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.9,50,460.0,3.0,1380.0,108.7
동원 양반 버섯 야채죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,50,420.0,4.0,1680.0,64.88
동원 양반 수라 차돌육개장 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.9,49,460.0,3.0,1380.0,108.7
동원 양반 백합죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,49,420.0,10.0,4200.0,56.9
동원참치 매운고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,48,150.0,1.0,150.0,186.67
동원 양반 야채죽 287g,죽/스프,즉석조리식품,간편식사,2100,4.9,48,287.0,1.0,287.0,73.17
동원 초밥의달인 큰사각유부초밥 378g x 2개,아이반찬,반찬,반찬,11900,5.0,48,378.0,2.0,756.0,157.41
동원참치 고추참치 250g x 20캔,참치/연어통조림,통조림,반찬/주재료,66000,5.0,47,250.0,20.0,5000.0,132.0
동원참치 맛참 매콤참기름 90g x 20캔,참치/연어통조림,통조림,반찬/주재료,37000,4.9,47,90.0,20.0,1800.0,205.56
[4%적립금] 동원 복숭아 백도 400g x 24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,48000,5.0,47,400.0,24.0,9600.0,50.0
동원참치 김치찌개용 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,46,150.0,5.0,750.0,180.0
동원 고등어 400g x 5캔,고등어/꽁치통조림,통조림,반찬,12000,4.8,46,400.0,5.0,2000.0,60.0
동원 고등어 300g x 5캔,고등어/꽁치통조림,통조림,반찬,11500,4.9,46,300.0,5.0,1500.0,76.67
[특가] 동원 자연산왕골뱅이 400g x 4캔,골뱅이/수산통조림,통조림,안주/반찬,33400,4.9,46,400.0,4.0,1600.0,208.75
동원 양반 참치죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7200,4.8,46,285.0,4.0,1140.0,63.16
동원참치 김치찌개용 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,45,150.0,3.0,450.0,182.22
동원참치 동원맛참 고소참기름 135g x 10캔,참치/연어통조림,통조림,반찬/주재료,25000,5.0,45,135.0,10.0,1350.0,185.19
동원 지중해 황도 복숭아 820g,과일/옥수수/팥,통조림,간식/요리재료,3700,4.9,45,820.0,1.0,820.0,45.12
동원 양반 밤단팥죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,45,420.0,1.0,420.0,76.19
동원참치 뽀로로 키즈 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,21000,4.9,44,100.0,10.0,1000.0,210.0
동원 복숭아 백도 400g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8400,4.8,44,400.0,3.0,1200.0,70.0
동원 양반 캔김치 160g x 10캔,반찬/기타통조림,반찬,반찬,18500,4.6,44,160.0,10.0,1600.0,115.62
동원 양반 수라 부대찌개 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.8,44,460.0,5.0,2300.0,104.35
동원 떡볶이의신 고소한치즈 컵떡볶이 160g,떡볶이/떡류,떡류,간식,2700,4.7,42,160.0,1.0,160.0,168.75
동원참치 매운고추참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,41,150.0,3.0,450.0,182.22
동원 양반 진국 소고기무국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.7,41,460.0,3.0,1380.0,86.96
동원 양반 백합우거지된장국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,41,460.0,1.0,460.0,93.48
동원 양반 백합 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.8,41,460.0,5.0,2300.0,83.91
동원 꽁치 230g x 3캔,고등어/꽁치통조림,통조림,반찬,9900,4.9,40,230.0,3.0,690.0,143.48
동원 양반 진국 사골곰탕 300g (1인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,40,300.0,20.0,6000.0,38.17
[1+1] 동원 참치액 진 900g,고춧가루/액젓,양념,조미료,12980,4.9,40,,,,
동원참치 DHA 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.8,39,150.0,10.0,1500.0,180.0
동원참치 매운고추참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,39,150.0,5.0,750.0,180.0
동원 자연산골뱅이 230g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,52800,5.0,39,230.0,10.0,2300.0,229.57
