product_name,month_index,baseline_units,lift_median,final_units
소화가 잘되는 우유로 만든 바닐라라떼 250mL,10,63250,1.0,63250
소화가 잘되는 우유로 만든 바닐라라떼 250mL,11,61875,1.0,61875
소화가 잘되는 우유로 만든 바닐라라떼 250mL,12,61875,1.0,61875
소화가 잘되는 우유로 만든 카페라떼 250mL,1,87588,1.0,87588
소화가 잘되는 우유로 만든 카페라떼 250mL,2,97453,1.0,97453
소화가 잘되는 우유로 만든 카페라떼 250mL,3,83016,1.05,87167
소화가 잘되는 우유로 만든 카페라떼 250mL,4,68750,1.05,72188
소화가 잘되는 우유로 만든 카페라떼 250mL,5,67375,1.015,68386
소화가 잘되는 우유로 만든 카페라떼 250mL,6,67375,1.01,68049
소화가 잘되는 우유로 만든 카페라떼 250mL,7,65313,1.0,65313
소화가 잘되는 우유로 만든 카페라떼 250mL,8,65313,1.0,65313
소화가 잘되는 우유로 만든 카페라떼 250mL,9,63250,1.0,63250
소화가 잘되는 우유로 만든 카페라떼 250mL,10,63250,1.0,63250
소화가 잘되는 우유로 만든 카페라떼 250mL,11,61875,1.0,61875
소화가 잘되는 우유로 만든 카페라떼 250mL,12,61875,1.0,61875
프리미엄 동원참치액 500g,1,3072,1.0,3072
프리미엄 동원참치액 500g,2,3292,1.0,3292
프리미엄 동원참치액 500g,3,3950,1.025,4049
프리미엄 동원참치액 500g,4,3386,1.025,3471
프리미엄 동원참치액 500g,5,3072,1.025,3149
프리미엄 동원참치액 500g,6,3072,1.075,3302
프리미엄 동원참치액 500g,7,3425,1.0,3425
프리미엄 동원참치액 500g,8,2978,1.0,2978
프리미엄 동원참치액 500g,9,2884,1.0,2884
프리미엄 동원참치액 500g,10,2884,1.0,2884
프리미엄 동원참치액 500g,11,2822,1.0,2822
프리미엄 동원참치액 500g,12,2822,1.0,2822
프리미엄 동원참치액 900g,1,1307,1.0,1307
프리미엄 동원참치액 900g,2,1401,1.005,1408
프리미엄 동원참치액 900g,3,1681,1.025,1723
프리미엄 동원참치액 900g,4,1441,1.025,1477
프리미엄 동원참치액 900g,5,1307,1.015,1327
프리미엄 동원참치액 900g,6,1307,1.03,1346
프리미엄 동원참치액 900g,7,1457,1.0,1457
프리미엄 동원참치액 900g,8,1267,1.0,1267
프리미엄 동원참치액 900g,9,1227,1.0,1227
프리미엄 동원참치액 900g,10,1227,1.0,1227
프리미엄 동원참치액 900g,11,1201,1.0,1201
프리미엄 동원참치액 900g,12,1201,1.0,1201
