상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격
동원 양반 진국 사골곰탕 300g (1인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,13500,5,11,300,10,3000,45
동원 지중해 황도 복숭아 820g,과일/옥수수/팥,통조림,간식/요리재료,3700,4.9,45,820,1,820,45.12
동원 저스트 노슈가 후르츠칵테일 822gx6개,과일/옥수수/팥,통조림,간식/요리재료,22900,5,6,822,6,4932,46.43
양반 나주식 곰탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,6450,4.9,18,460,3,1380,46.74
동원 저스트 노슈가 스위트콘 340g x 12캔,과일/옥수수/팥,통조림,간식/요리재료,19200,4.9,14,340,12,4080,47.06
동원 양반 수라 한우사골곰탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,6540,4.9,11,460,3,1380,47.39
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,45900,5,121,400,24,9600,47.81
동원 저스트 노슈가 후르츠칵테일 822g,과일/옥수수/팥,통조림,간식/요리재료,3980,4.9,7,822,1,822,48.42
동원 저스트 노슈가 후르츠칵테일 822g x 2캔,과일/옥수수/팥,통조림,간식/요리재료,7980,5,4,822,2,1644,48.54
동원 지중해 황도 복숭아 820g x 12캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,48000,5,3,820,12,9840,48.78
동원 양반 진국 사골곰탕 300g (1인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,4400,5,5,300,3,900,48.89
양반 나주식 곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2250,4.8,8,460,1,460,48.91
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2300,4.9,147,460,1,460,50
[4%적립금] 동원 복숭아 백도 400g x 24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,48000,5,47,400,24,9600,50
동원 양반 진국사골곰탕 300g (1인분),국/탕/찌개,즉석조리식품,간편식사,1500,5,25,300,1,300,50
동원 저스트 노슈가 스위트콘 340g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,10200,4.8,21,340,6,2040,50
동원 저스트 노슈가 파인애플 822gx6개,과일/옥수수/팥,통조림,간식/요리재료,26000,5,8,822,6,4932,52.72
동원 Dole 후르츠칵테일 432g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,5,9,432,24,10368,53.05
동원 Dole 파인애플 432g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,5,4,432,24,10368,53.05
동원 저스트 노슈가 파인애플 425gx24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,4.9,7,425,24,10200,53.92
동원 저스트 노슈가 후르츠칵테일 425gx24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,55000,5,3,425,24,10200,53.92
동원 고등어 400g x 12캔,고등어/꽁치통조림,통조림,반찬,26000,4.9,135,400,12,4800,54.17
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,26000,4.9,122,400,12,4800,54.17
[4%적립금] 동원 저스트 노슈가 황도 슬라이스 400g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,52000,4.9,8,400,24,9600,54.17
[4%적립금] 동원 저스트 노슈가 황도 2절 400g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,52000,5,1,400,24,9600,54.17
동원 양반 단호박죽 420g x 20개,죽/스프,즉석조리식품,간편식사,45550,5,74,420,20,8400,54.23
동원 양반 참치죽 420g x 20개,죽/스프,즉석조리식품,간편식사,45900,5,3,420,20,8400,54.64
동원 양반 야채죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,5,214,287,24,6888,55.02
동원 양반 참치죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,70,287,24,6888,55.02
동원 양반 밤단팥죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,327,285,24,6840,55.41
동원 양반 단호박죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,168,285,24,6840,55.41
동원 고등어 400g x 9캔,고등어/꽁치통조림,통조림,반찬,20000,5,122,400,9,3600,55.56
동원 요리 올리고당 700ml,올리고당/물엿/조청/꿀,당류,요리재료,3900,5,3,700,1,700,55.71
동원 양반 쇠고기죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5,23,420,20,8400,55.83
동원 양반 백합죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5,12,420,20,8400,55.83
동원 양반 밤단팥죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,5,12,420,20,8400,55.83
동원 양반 버섯 야채죽 420g x 20개,죽/스프,즉석조리식품,간편식사,46900,4,10,420,20,8400,55.83
동원 양반 단호박죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,147,420,10,4200,56.9
동원 양반 밤단팥죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5,129,420,10,4200,56.9
동원 양반 쇠고기죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5,114,420,10,4200,56.9
동원 양반 버섯 야채죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,56,420,10,4200,56.9
동원 양반 백합죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5,49,420,10,4200,56.9
동원 지중해 황도 복숭아 820g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,14100,5,4,820,3,2460,57.32
동원 고등어 400g x 6캔,고등어/꽁치통조림,통조림,반찬,13800,4.8,101,400,6,2400,57.5
동원 양반 참치죽 287g x 12개,죽/스프,즉석조리식품,간편식사,19900,5,35,287,12,3444,57.78
동원 양반 야채죽 287g x 12개,죽/스프,즉석조리식품,간편식사,19900,5,31,287,12,3444,57.78
동원 Dole 후르츠칵테일 432g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,30000,4.8,21,432,12,5184,57.87
동원 Dole 파인애플 432g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,30000,4.6,5,432,12,5184,57.87
동원 양반 단호박죽 285g x 12개,죽/스프,즉석조리식품,간편식사,19900,4.9,99,285,12,3420,58.19
[2% 적립금] 동원 참치액 진 2kgx6개 ( 1box),동원참치액,소스,조미료,69900,5,1,2,6,12000,58.25
[2% 적립금] 동원 쯔유 2kgx6개 ( 1box),간장/고추장/된장/쌈장,장류,조미료,69900,0,0,2,6,12000,58.25
동원 복숭아 백도 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,14000,5,2,400,6,2400,58.33
동원 저스트 노슈가 후르츠칵테일 425gx12개,과일/옥수수/팥,통조림,간식/요리재료,30000,5,1,425,12,5100,58.82
동원 양반 참치죽 420g x 10개,죽/스프,즉석조리식품,간편식사,24900,4.9,16,420,10,4200,59.29
동원 고등어 400g x 5캔,고등어/꽁치통조림,통조림,반찬,12000,4.8,46,400,5,2000,60
[2% 적립금] 동원 쯔유 500gx16개 (1box),간장/고추장/된장/쌈장,장류,조미료,48000,0,0,500,16,8000,60
[4% 적립금] 동원 하루미 소불고기양념 500g15개 (1박스),고기/찌개양념,양념,조미료,45000,0,0,500,15,7500,60
[4% 적립금]동원 하루미 소갈비양념 500gx15개 (1박스),고기/찌개양념,양념,조미료,45000,0,0,500,15,7500,60
[4% 적립금] 동원 하루미 돼지갈비양념 500gx15개 (1박스),고기/찌개양념,양념,조미료,45000,0,0,500,15,7500,60
동원 양반 전복죽 420g x 20개,죽/스프,즉석조리식품,간편식사,51000,4.9,34,420,20,8400,60.71
동원 양반 들깨닭죽 420g x 20개,죽/스프,즉석조리식품,간편식사,51000,5,2,420,20,8400,60.71
동원 Dole 후르츠칵테일 432g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16000,4.9,10,432,6,2592,61.73
동원 Dole 파인애플 432g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16000,4.5,2,432,6,2592,61.73
동원 고등어 400g x 3캔,고등어/꽁치통조림,통조림,반찬,7500,4.8,70,400,3,1200,62.5
동원 Dole 파인애플 432g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8100,4.7,19,432,3,1296,62.5
동원 Dole 후르츠칵테일 432g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8100,4.7,12,432,3,1296,62.5
동원 양반 영양닭죽 285g x 24개,죽/스프,즉석조리식품,간편식사,42900,4.9,76,285,24,6840,62.72
[4% 적립금] 동원 양반 떡국떡 700gx10개(1박스) / 실온,떡볶이/떡류,떡류,간식,44000,5,2,700,10,7000,62.86
동원 양반 참치죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7200,4.8,46,285,4,1140,63.16
동원 저스트 노슈가 황도 슬라이스 400g,과일/옥수수/팥,통조림,간식/요리재료,2580,4.6,30,400,1,400,64.5
동원 저스트 노슈가 황도 2절 400g,과일/옥수수/팥,통조림,간식/요리재료,2580,4.8,12,400,1,400,64.5
동원 Dole 파인애플 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,226,432,1,432,64.81
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.8,198,432,1,432,64.81
동원 양반 밤단팥죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,123,420,4,1680,64.88
동원 양반 단호박죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.8,103,420,4,1680,64.88
동원 양반 버섯 야채죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,50,420,4,1680,64.88
동원 양반 참치죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,5,15,420,4,1680,64.88
동원 저스트 노슈가 황도 2절 400g x 12캔,과일/옥수수/팥,통조림,간식/요리재료,31200,4.7,3,400,12,4800,65
[4%적립금] 동원 참치다시 2kg x 5개 ( 1박스 ),분말/액상조미료,조미료,조미료,65000,0,0,2,5,10000,65
동원 미니파인애플 234g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,37000,5,53,234,24,5616,65.88
[4% 적립금] 동원 참치다시 1kgx10개(1박스),분말/액상조미료,조미료,조미료,66000,0,0,1,10,10000,66
동원 양반 쇠고기죽 287g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,105,287,4,1148,66.2
동원 저스트 노슈가 파인애플 425gx12개,과일/옥수수/팥,통조림,간식/요리재료,33900,5,7,425,12,5100,66.47
동원 양반 밤단팥죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,103,285,4,1140,66.67
동원 양반 단호박죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,80,285,4,1140,66.67
동원 양반 영양닭죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,71,285,4,1140,66.67
동원 저스트 노슈가 파인애플 822g,과일/옥수수/팥,통조림,간식/요리재료,5480,4.9,10,822,1,822,66.67
동원 저스트 노슈가 황도 슬라이스 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16200,4.5,10,400,6,2400,67.5
동원 저스트 노슈가 황도 2절 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16200,4.7,3,400,6,2400,67.5
동원 미니파인코코 227g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,37000,5,7,227,24,5448,67.91
[4%적립금] 동원 런천미트 340g x 24개(1박스),햄/닭가슴살,가공육,반찬/주재료,56000,5,14,340,24,8160,68.63
동원 저스트 노슈가 파인애플 425gx6개,과일/옥수수/팥,통조림,간식/요리재료,17500,5,3,425,6,2550,68.63
동원 저스트 노슈가 후르츠칵테일 425gx6개,과일/옥수수/팥,통조림,간식/요리재료,17500,5,1,425,6,2550,68.63
동원 양반 들깨닭죽 420g x 10개,죽/스프,즉석조리식품,간편식사,28900,4.9,29,420,10,4200,68.81
양반 영양닭죽 285g x 5개,죽/스프,즉석조리식품,간편식사,9900,5,3,285,5,1425,69.47
동원 복숭아 백도 400g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,67,400,1,400,70
동원 복숭아 백도 400g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8400,4.8,44,400,3,1200,70
동원 고등어 300g x 9캔,고등어/꽁치통조림,통조림,반찬,18900,5,15,300,9,2700,70
동원 저스트 노슈가 파인애플 425g,과일/옥수수/팥,통조림,간식/요리재료,2980,4.8,28,425,1,425,70.12
동원 저스트 노슈가 후르츠칵테일 425g,과일/옥수수/팥,통조림,간식/요리재료,2980,4.9,16,425,1,425,70.12
동원 저스트 노슈가 황도 슬라이스 400g x 12캔,과일/옥수수/팥,통조림,간식/요리재료,33900,3.8,4,400,12,4800,70.62
동원 양반 쇠고기죽 420g x 4개,죽/스프,즉석조리식품,간편식사,11900,4.9,55,420,4,1680,70.83
동원 양반 백합죽 420g x 4개,죽/스프,즉석조리식품,간편식사,11900,5,37,420,4,1680,70.83
동원 양반 전복죽 287g x 24개,죽/스프,즉석조리식품,간편식사,48900,4.9,425,287,24,6888,70.99
동원 미니파인애플 234g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,20000,5,15,234,12,2808,71.23
[1+1] 동원 참치액 진 900g,고춧가루/액젓,양념,조미료,12980,4.9,40,900,2,1800,72.11
[2+2] 동원 참치액 진 900g,고춧가루/액젓,양념,조미료,25960,5,7,900,4,3600,72.11
[1+1] 동원 참치액 순 900g,분말/액상조미료,조미료,조미료,12980,4.7,3,900,2,1800,72.11
[2+2] 동원 참치액 순 900g,분말/액상조미료,조미료,조미료,25960,0,0,900,4,3600,72.11
동원 양반 전통잣죽 285g x 24개,죽/스프,즉석조리식품,간편식사,49800,4.9,81,285,24,6840,72.81
동원 양반 야채죽 287g,죽/스프,즉석조리식품,간편식사,2100,4.9,48,287,1,287,73.17
동원 양반 참치죽 287g,죽/스프,즉석조리식품,간편식사,2100,5,28,287,1,287,73.17
동원 양반 단호박죽 285g,죽/스프,즉석조리식품,간편식사,2100,4.9,56,285,1,285,73.68
동원 양반 전복죽 287g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.9,136,287,4,1148,74.91
동원 양반 전통잣죽 285g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.8,39,285,4,1140,75.44
동원 양반 단호박죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,71,420,1,420,76.19
동원 양반 밤단팥죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,45,420,1,420,76.19
동원 양반 버섯 야채죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,36,420,1,420,76.19
동원 양반 참치죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.8,22,420,1,420,76.19
[1+1]동원 참치다시 2kg,분말/액상조미료,조미료,조미료,30480,5,3,2,2,4000,76.2
동원 양반 쇠고기죽 287g,죽/스프,즉석조리식품,간편식사,2200,5,77,287,1,287,76.66
동원 고등어 300g x 3캔,고등어/꽁치통조림,통조림,반찬,6900,4.8,54,300,3,900,76.67
동원 고등어 300g x 5캔,고등어/꽁치통조림,통조림,반찬,11500,4.9,46,300,5,1500,76.67
동원 양반 들깨닭죽 420g x 4개,죽/스프,즉석조리식품,간편식사,12900,4.9,129,420,4,1680,76.79
동원 양반 밤단팥죽 285g,죽/스프,즉석조리식품,간편식사,2200,4.9,54,285,1,285,77.19
동원 양반 영양닭죽 285g,죽/스프,즉석조리식품,간편식사,2200,4.9,18,285,1,285,77.19
하루미 불닭로제 떡볶이 양념 4개 + 양반 떡볶이떡 320g,기타양념,양념,조미료,9900,0,0,320,4,1280,77.34
동원 양반 떡국떡 700gx5개 / 실온,떡볶이/떡류,떡류,간식,27400,0,0,700,5,3500,78.29
동원 미니파인애플 234g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,11000,5,5,234,6,1404,78.35
동원 양반 쇠고기죽 420g,죽/스프,즉석조리식품,간편식사,3300,4.9,70,420,1,420,78.57
동원 양반 백합죽 420g,죽/스프,즉석조리식품,간편식사,3300,4.8,17,420,1,420,78.57
동원 미니파인코코 227g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,21500,5,4,227,12,2724,78.93
동원 하루미 소불고기양념 500g,고기/찌개양념,양념,조미료,3980,5,3,500,1,500,79.6
동원 하루미 돼지불고기양념 500g,고기/찌개양념,양념,조미료,3980,5,3,500,1,500,79.6
동원 하루미 소갈비양념 500g,고기/찌개양념,양념,조미료,3980,5,1,500,1,500,79.6
동원 하루미 돼지갈비양념 500g,고기/찌개양념,양념,조미료,3980,0,0,500,1,500,79.6
[1+1] 동원 참치액 진 500g,고춧가루/액젓,양념,조미료,7980,5,38,500,2,1000,79.8
[2+2] 동원 참치액 진 500g,고춧가루/액젓,양념,조미료,15960,5,8,500,4,2000,79.8
[1+1] 동원 참치액 순 500g,고춧가루/액젓,양념,조미료,7980,5,5,500,2,1000,79.8
[2+2] 동원 참치액 순 500g,고춧가루/액젓,양념,조미료,15960,5,1,500,4,2000,79.8
동원 고등어 400g,고등어/꽁치통조림,통조림,반찬,3200,4.9,172,400,1,400,80
[4%적립금] 동원 번데기 130gx48캔(1박스),골뱅이/수산통조림,통조림,안주/반찬,50000,4.7,13,130,48,6240,80.13
동원 미니파인코코 227g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,11000,5,1,227,6,1362,80.76
동원 양반 전복죽 420g,죽/스프,즉석조리식품,간편식사,3400,4.9,53,420,1,420,80.95
동원 양반 들깨닭죽 420g,죽/스프,즉석조리식품,간편식사,3400,4.7,29,420,1,420,80.95
동원 미니파인애플 234g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,5700,4.9,34,234,3,702,81.2
양반 1등비법 듬뿍 밤단팥죽 285g x 6개,죽/스프,즉석조리식품,간편식사,13900,5,1,285,6,1710,81.29
동원 양반 떡국떡 700gx2개 / 실온,떡볶이/떡류,떡류,간식,11500,5,4,700,2,1400,82.14
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,79000,5,126,400,24,9600,82.29
[1+1]동원 참치액 진 240g,동원참치액,소스,조미료,3980,4.9,80,240,2,480,82.92
동원 쯔유 2kgx3개,간장/고추장/된장/쌈장,장류,조미료,49900,0,0,2,3,6000,83.17
동원 참치액 진 2kgx3개,동원참치액,소스,조미료,49900,0,0,2,3,6000,83.17
동원 미니파인코코 227g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,5700,4,2,227,3,681,83.7
동원 양반 차돌 육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,98,460,5,2300,83.91
동원 양반 진국 소고기무국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,60,460,5,2300,83.91
동원 양반 소고기 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,54,460,5,2300,83.91
동원 양반 백합 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.8,41,460,5,2300,83.91
동원 양반 백합우거지된장국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.7,38,460,5,2300,83.91
동원 양반 한우사골시래기국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.8,21,460,5,2300,83.91
[2%적립금] 동원 꽁치 1880g,고등어/꽁치통조림,통조림,반찬,16000,5,1,1880,1,1880,85.11
동원 양반 떡국떡 700g / 실온,떡볶이/떡류,떡류,간식,5980,4.8,4,700,1,700,85.43
동원 미니파인애플 234g,과일/옥수수/팥,통조림,간식/요리재료,2000,4.6,14,234,1,234,85.47
[4% 적립금] 동원 양반 떡국떡 320g x 12개(1박스) / 실온,떡볶이/떡류,떡류,간식,33000,5,1,320,12,3840,85.94
[4% 적립금] 동원 양반 떡볶이떡 320g x 12개(1박스) / 실온,떡볶이/떡류,떡류,간식,33000,0,0,320,12,3840,85.94
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.9,101,460,3,1380,86.96
동원 양반 백합우거지된장국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.8,80,460,3,1380,86.96
동원 양반 진국 소고기무국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.7,41,460,3,1380,86.96
동원 양반 한우사골시래기국 460g x (1~2인분) 3개,국/탕/찌개,즉석조리식품,간편식사,12000,5,10,460,3,1380,86.96
동원 양반 전복죽 287g,죽/스프,즉석조리식품,간편식사,2500,4.9,111,287,1,287,87.11
동원 양반 전통잣죽 285g,죽/스프,즉석조리식품,간편식사,2500,4.7,10,285,1,285,87.72
동원 미니파인코코 227g,과일/옥수수/팥,통조림,간식/요리재료,2000,0,0,227,1,227,88.11
동원 하루미 닭볶음탕양념 500g,기타양념,양념,조미료,4480,0,0,500,1,500,89.6
동원 런천미트 340g x 10캔,햄/닭가슴살,가공육,반찬/주재료,30900,5,9,340,10,3400,90.88
양반 1등비법 듬뿍 밤단팥죽 285g x 3개,죽/스프,즉석조리식품,간편식사,7900,5,1,285,3,855,92.4
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5,167,400,12,4800,92.5
동원 고등어 300g,고등어/꽁치통조림,통조림,반찬,2800,4.9,21,300,1,300,93.33
[2%적립금] 동원 살코기 참치 라이트스탠다드 3kg,참치/연어통조림,통조림,반찬/주재료,28000,0,0,3,1,3000,93.33
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,206,460,1,460,93.48
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,110,460,1,460,93.48
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,104,460,1,460,93.48
동원 양반 백합 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,81,460,1,460,93.48
동원 양반 소고기 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,5,73,460,1,460,93.48
동원 양반 백합우거지된장국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,41,460,1,460,93.48
동원 떡볶이의신 우리쌀 국물떡볶이 422g(2인) x 5개,떡볶이/떡류,떡류,간식,19900,5,7,422,5,2110,94.31
동원 참치액 진 2kg,동원참치액,소스,조미료,18900,5,1,2,1,2000,94.5
동원 쯔유 2kg,간장/고추장/된장/쌈장,장류,조미료,18900,0,0,2,1,2000,94.5
동원 런천미트 340g x 4캔,햄/닭가슴살,가공육,반찬/주재료,12900,4.8,4,340,4,1360,94.85
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 10개,국/탕/찌개,즉석조리식품,간편식사,44000,5,9,460,10,4600,95.65
동원 번데기 130gx24캔(1/2박스),골뱅이/수산통조림,통조림,안주/반찬,30000,4.7,7,130,24,3120,96.15
[4%적립금] 동원 고추참치(덕용) 1880gx6개 ( 박스 ),참치/연어통조림,통조림,반찬/주재료,109000,5,1,1880,6,11280,96.63
동원 자연산꽁치 400g x 9캔,고등어/꽁치통조림,통조림,반찬,35100,4.9,33,400,9,3600,97.5
동원 번데기 130gx12캔,골뱅이/수산통조림,통조림,안주/반찬,15400,4.9,14,130,12,1560,98.72
[4% 적립금] 동원 참치다시 300gx30개 ( 1박스),분말/액상조미료,조미료,조미료,89000,0,0,300,30,9000,98.89
[동원] 동원 쯔유 500gx3개,간장/고추장/된장/쌈장,장류,조미료,14900,5,3,500,3,1500,99.33
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,168,460,5,2300,99.57
[4%적립금] 동원 양반 캔볶음김치 160g x 96캔,반찬/기타통조림,반찬,반찬,153000,0,0,160,96,15360,99.61
[1+1]동원 참치다시 1kg,분말/액상조미료,조미료,조미료,19980,5,1,1,2,2000,99.9
동원 참치액 순 900gx3개,동원참치액,소스,조미료,27000,0,0,900,3,2700,100
동원 참치액 순 900gx3개,분말/액상조미료,조미료,조미료,27000,0,0,900,3,2700,100
[2%적립금] 동원참치 라이트스탠다드 1880g,참치/연어통조림,통조림,반찬/주재료,19000,4.9,63,1880,1,1880,101.06
동원 양반 보양 삼계탕 900g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,45500,5,21,900,5,4500,101.11
동원 양반 캔볶음김치 160g x 48캔,반찬/기타통조림,반찬,반찬,78000,5,3,160,48,7680,101.56
동원 양반 캔김치 160g x 48캔,반찬/기타통조림,반찬,반찬,78000,5,1,160,48,7680,101.56
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,통조림,반찬,20500,4.9,159,400,5,2000,102.5
[동원] 미니 파인애플 234g x 5,과일/옥수수/팥,통조림,간식/요리재료,12000,5,1,234,5,1170,102.56
동원 런천미트 340g,햄/닭가슴살,가공육,반찬/주재료,3500,4.9,27,340,1,340,102.94
동원 양반 수라 왕갈비탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,23900,4.9,82,460,5,2300,103.91
