상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,중량 단위,묶음수량
동원홈푸드 비비드키친 저당 굴소스 310g,기타양념,양념,조미료,5200,5.0,393,310.0,g,
동원 자연산골뱅이 300g x 2캔,골뱅이/수산통조림,통조림,안주/반찬,13400,4.9,353,300.0,g,
동원 리챔 200g x 12캔,햄/닭가슴살,가공육,반찬/주재료,33900,4.9,335,200.0,g,
동원 양반 밤단팥죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,327,285.0,g,
[4%적립금] 동원 자연산골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,179000,5.0,320,400.0,g,
"동원참치 맛참 90g(고소참기름,매콤참기름) 각 10개, 총 20캔",참치/연어통조림,통조림,반찬/주재료,37000,4.9,317,90.0,g,
동원 리챔 200g,햄/닭가슴살,가공육,반찬/주재료,3000,5.0,317,200.0,g,
동원참치 살코기 라이트스탠다드 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,18900,4.9,316,250.0,g,
동원참치 고추참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,314,150.0,g,
[4%적립금] 동원 자연산골뱅이 300g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,135000,5.0,302,300.0,g,
동원참치 살코기 라이트스탠다드 250g x 15캔,참치/연어통조림,통조림,반찬/주재료,47600,4.9,291,250.0,g,
동원참치 살코기 라이트스탠다드 250g,참치/연어통조림,통조림,반찬/주재료,3700,4.9,282,250.0,g,
동원참치 고추참치 100g x 20캔,참치/연어통조림,통조림,반찬/주재료,36000,5.0,271,100.0,g,
동원 자연산꽁치 400g x 3캔,고등어/꽁치통조림,통조림,반찬,13000,4.9,271,400.0,g,
동원참치 매운고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,251,150.0,g,
동원참치 살코기 라이트스탠다드 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,250,150.0,g,
동원참치 김치찌개용 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,245,150.0,g,
동원 리챔 200g x 6캔,햄/닭가슴살,가공육,반찬/주재료,17400,5.0,226,200.0,g,
동원 Dole 파인애플 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,226,432.0,g,
동원참치 야채참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,216,150.0,g,
동원 양반 야채죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,5.0,214,287.0,g,
동원 리챔 340g,햄/닭가슴살,가공육,반찬/주재료,4500,4.9,208,340.0,g,
동원 양반 차돌 육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,206,460.0,g,
동원 양반 진국 사골곰탕 500g (1~2인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,26000,4.9,205,500.0,g,
동원 Dole 후르츠칵테일 432g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.8,198,432.0,g,
"동원참치 85g 2종(LS12,고추8) 총20캔+(증정)콘참치 2캔",참치/연어통조림,통조림,반찬/주재료,32000,5.0,192,85.0,g,
동원참치 고추참치 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,185,100.0,g,
동원참치 살코기 라이트스탠다드 135gx10캔,참치/연어통조림,통조림,반찬/주재료,22500,4.9,184,135.0,g,
동원 새콤달콤 도톰쫄깃 삼각유부초밥 340g (4인용),아이반찬,반찬,반찬,4800,4.9,182,340.0,g,
동원참치 살코기 라이트스탠다드 100g,참치/연어통조림,통조림,반찬/주재료,2100,5.0,180,100.0,g,
동원 고등어 400g,고등어/꽁치통조림,통조림,반찬,3200,4.9,172,400.0,g,
동원 리챔 340g x 12캔,햄/닭가슴살,가공육,반찬/주재료,49000,5.0,172,340.0,g,
동원참치 김치찌개용 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,5.0,169,250.0,g,
동원 양반 수라 도가니설렁탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,168,460.0,g,
동원 양반 단호박죽 285g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,168,285.0,g,
동원 자연산꽁치 400g x 12캔,고등어/꽁치통조림,통조림,반찬,44400,5.0,167,400.0,g,
동원참치 DHA 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,165,250.0,g,
동원 자연산꽁치 400g x 5캔,고등어/꽁치통조림,통조림,반찬,20500,4.9,159,400.0,g,
동원 양반 수라 왕갈비탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4900,4.7,159,460.0,g,
동원참치 고추참치 150g x 20캔,참치/연어통조림,통조림,반찬/주재료,49200,4.9,158,150.0,g,
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",참치/연어통조림,통조림,반찬/주재료,33900,5.0,155,85.0,"g, g",
"동원참치 85g 2종(라이트스탠다드15,고추5) 총20캔+리챔 200gx2캔",햄/닭가슴살,가공육,반찬/주재료,33900,5.0,155,85.0,"g, g",
동원 양반 진국 사골곰탕 500g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,1600,4.9,154,500.0,g,
동원참치 고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,150,150.0,g,
동원참치 살코기 라이트스탠다드 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,10800,4.9,148,250.0,g,
동원 양반 수라 한우사골곰탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,2300,4.9,147,460.0,g,
동원 양반 단호박죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,147,420.0,g,
동원참치 고추참치 250g x 10캔,참치/연어통조림,통조림,반찬/주재료,35000,4.9,146,250.0,g,
[4%적립금] 동원 리챔 순닭가슴살 135g x 48개(1박스),햄/닭가슴살,가공육,반찬/주재료,75000,5.0,140,135.0,g,
동원 양반 전복죽 287g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.9,136,287.0,g,
동원 고등어 400g x 12캔,고등어/꽁치통조림,통조림,반찬,26000,4.9,135,400.0,g,
동원 자연산골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9280,4.9,133,400.0,g,
동원 양반 들깨닭죽 420g x 4개,죽/스프,즉석조리식품,간편식사,12900,4.9,129,420.0,g,
동원 양반 밤단팥죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,129,420.0,g,
동원참치 살코기 라이트스탠다드 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,5.0,126,100.0,g,
[4%적립금] 동원 자연산꽁치 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,79000,5.0,126,400.0,g,
동원참치 살코기 라이트스탠다드 85g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,125,85.0,g,
[4%적립금] 동원 저스트 노슈가 스위트콘 340g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,29500,5.0,125,340.0,g,
동원 양반 밤단팥죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,123,420.0,g,
동원참치 고추참치 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.7,122,150.0,g,
동원 고등어 400g x 9캔,고등어/꽁치통조림,통조림,반찬,20000,5.0,122,400.0,g,
동원 복숭아 백도 400g x 12캔(1/2박스),과일/옥수수/팥,통조림,간식/요리재료,26000,4.9,122,400.0,g,
[4%적립금] 동원 고등어 400g x 24개(1박스),고등어/꽁치통조림,통조림,반찬,45900,5.0,121,400.0,g,
동원참치 살코기 라이트스탠다드 85g x 60캔(1박스),참치/연어통조림,통조림,반찬/주재료,91200,5.0,120,85.0,g,
동원 저스트 노슈가 스위트콘 340g,과일/옥수수/팥,통조림,간식/요리재료,1480,4.9,118,340.0,g,
동원 자연산골뱅이 230g,골뱅이/수산통조림,통조림,안주/반찬,6480,4.9,117,230.0,g,
동원 자연산꽁치 400g x 6캔,고등어/꽁치통조림,통조림,반찬,25800,5.0,116,400.0,g,
동원참치 고추참치 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9400,5.0,115,85.0,g,
동원 양반 쇠고기죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,114,420.0,g,
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15900,4.9,112,460.0,g,
[치킨에 좋은] 비비드키친 저칼로리 양념치킨소스 290g+스위트칠리소스 280g+숯불매콤소스 290g,기타양념,양념,조미료,10900,5.0,112,290.0,"g, g, g",
동원 양반 전복죽 287g,죽/스프,즉석조리식품,간편식사,2500,4.9,111,287.0,g,
동원 양반 한우사골시래기국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,110,460.0,g,
동원참치 살코기 라이트스탠다드 85g x 5캔,참치/연어통조림,통조림,반찬/주재료,9200,5.0,107,85.0,g,
동원참치 고추참치 85g,참치/연어통조림,통조림,반찬/주재료,2200,5.0,105,85.0,g,
동원참치 DHA 150g x 48캔 (1박스),참치/연어통조림,통조림,반찬/주재료,103000,5.0,105,150.0,g,
동원 양반 쇠고기죽 287g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,105,287.0,g,
동원 양반 진국 소고기무국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,104,460.0,g,
동원 양반 단호박죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.8,103,420.0,g,
동원 양반 밤단팥죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,103,285.0,g,
동원 고등어 400g x 6캔,고등어/꽁치통조림,통조림,반찬,13800,4.8,101,400.0,g,
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.9,101,460.0,g,
동원 양반 수라 부대찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.8,100,460.0,g,
동원 양반 단호박죽 285g x 12개,죽/스프,즉석조리식품,간편식사,19900,4.9,99,285.0,g,
동원 양반 차돌 육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,98,460.0,g,
동원참치 살코기 인 워터 100g x 20캔,참치/연어통조림,통조림,반찬/주재료,34490,5.0,97,100.0,g,
동원참치 동원맛참 고소참기름 90g,참치/연어통조림,통조림,반찬/주재료,2000,4.9,95,90.0,g,
동원 양반 보양 삼계탕 900g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,28400,4.8,95,900.0,g,
동원참치 살코기 라이트스탠다드 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,4.9,92,100.0,g,
동원 양반 수라 왕갈비탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,14600,4.8,92,460.0,g,
동원참치 동원맛참 매콤참기름 90g,참치/연어통조림,통조림,반찬/주재료,2200,4.9,91,90.0,g,
양반 용기죽 쇠고기죽 287g + 야채죽 287g+ 전복죽 287g (4개씩 총 12개),죽/스프,즉석조리식품,간편식사,22900,5.0,91,287.0,"g, g, g",
동원참치 고추참치 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,6000,4.9,88,85.0,g,
동원라이트스탠다드참치 135gx12캔 +고추참치 85gx3캔,참치/연어통조림,통조림,반찬/주재료,25000,4.9,87,135.0,"g, g",
동원참치 스프레드 고소마요 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,20000,5.0,83,100.0,g,
동원 양반 수라 왕갈비탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,23900,4.9,82,460.0,g,
동원 양반 백합 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.9,81,460.0,g,
동원 양반 전통잣죽 285g x 24개,죽/스프,즉석조리식품,간편식사,49800,4.9,81,285.0,g,
동원 양반 백합우거지된장국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.8,80,460.0,g,
동원 양반 단호박죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,80,285.0,g,
[1+1]동원 참치액 진 240g,동원참치액,소스,조미료,3980,4.9,80,240.0,g,
동원맛참 마요참기름 135g,참치/연어통조림,통조림,반찬/주재료,2880,4.9,79,135.0,g,
동원 화끈한 골뱅이 400gx3캔,골뱅이/수산통조림,통조림,안주/반찬,26900,4.9,77,400.0,g,
동원 양반 쇠고기죽 287g,죽/스프,즉석조리식품,간편식사,2200,5.0,77,287.0,g,
동원참치 살코기 인 워터 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,19900,4.9,76,100.0,g,
동원 양반 영양닭죽 285g x 24개,죽/스프,즉석조리식품,간편식사,42900,4.9,76,285.0,g,
동원 양반 단호박죽 420g x 20개,죽/스프,즉석조리식품,간편식사,45550,5.0,74,420.0,g,
동원 양반 소고기 미역국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,5.0,73,460.0,g,
동원 양반 수라 통다리 삼계탕 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,25900,5.0,73,460.0,g,
동원 떡볶이의신 신당동 즉석쫄볶이 397g (2인분),떡볶이/떡류,떡류,간식,4980,4.9,73,397.0,g,
동원참치 맛참 고소참기름 90g x 20캔,참치/연어통조림,통조림,반찬/주재료,37000,5.0,72,90.0,g,
동원 양반 단호박죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,71,420.0,g,
동원 양반 영양닭죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7600,4.9,71,285.0,g,
동원 고등어 400g x 3캔,고등어/꽁치통조림,통조림,반찬,7500,4.8,70,400.0,g,
동원 리챔 340g x 9캔,햄/닭가슴살,가공육,반찬/주재료,36900,5.0,70,340.0,g,
동원 양반 수라 부대찌개 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.8,70,460.0,g,
동원 양반 쇠고기죽 420g,죽/스프,즉석조리식품,간편식사,3300,4.9,70,420.0,g,
동원 양반 참치죽 287g x 24개,죽/스프,즉석조리식품,간편식사,37900,4.9,70,287.0,g,
동원 구운소금 210g,소금,양념,조미료,2900,4.9,70,210.0,g,
동원참치 고추참치 100g x 3캔,참치/연어통조림,통조림,반찬/주재료,5300,4.9,67,100.0,g,
[4%적립금] 동원 자연산왕골뱅이 400g x 24개(1박스),골뱅이/수산통조림,통조림,안주/반찬,179000,5.0,67,400.0,g,
동원 복숭아 백도 400g,과일/옥수수/팥,통조림,간식/요리재료,2800,4.9,67,400.0,g,
동원 리챔 200g x 3캔,햄/닭가슴살,가공육,반찬/주재료,8900,4.9,66,200.0,g,
동원참치 야채참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,64,150.0,g,
동원참치 불참치 90g x 10개,참치/연어통조림,통조림,반찬/주재료,20000,5.0,64,90.0,g,
[2%적립금] 동원참치 라이트스탠다드 1880g,참치/연어통조림,통조림,반찬/주재료,19000,4.9,63,1880.0,g,
동원참치 고추참치 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,5.0,63,100.0,g,
동원 떡볶이의신 학교앞 국물떡볶이 372g (2인분),떡볶이/떡류,떡류,간식,4980,4.5,63,372.0,g,
동원참치 고추참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,61,150.0,g,
동원 자연산골뱅이 매실청 140g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,32800,5.0,61,140.0,g,
동원 양반 진국 소고기무국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,60,460.0,g,
동원참치 야채참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,4.9,59,150.0,g,
동원참치 살코기 라이트스탠다드 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,5100,5.0,58,85.0,g,
동원 리챔 순닭가슴살 135g x 24개(1/2박스),햄/닭가슴살,가공육,반찬/주재료,45600,5.0,58,135.0,g,
동원 양반 수라 차돌육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.9,58,460.0,g,
동원 초밥의달인 롤유부초밥(고소한맛) 254g x 2개,아이반찬,반찬,반찬,9900,4.9,58,254.0,g,
동원 마일드참치 150gx10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.9,56,150.0,g,
동원참치 김치찌개용 250g,참치/연어통조림,통조림,반찬/주재료,3700,5.0,56,250.0,g,
동원참치 콘참치 85g x 20캔,참치/연어통조림,통조림,반찬/주재료,30800,5.0,56,85.0,g,
동원 양반 캔볶음김치 160g x 10캔,반찬/기타통조림,반찬,반찬,18500,4.9,56,160.0,g,
동원 양반 단호박죽 285g,죽/스프,즉석조리식품,간편식사,2100,4.9,56,285.0,g,
동원 양반 버섯 야채죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,4.9,56,420.0,g,
동원참치 야채참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,4.9,55,150.0,g,
동원 양반 쇠고기죽 420g x 4개,죽/스프,즉석조리식품,간편식사,11900,4.9,55,420.0,g,
동원 초밥의달인 큰사각유부초밥 378g,아이반찬,반찬,반찬,6280,4.9,55,378.0,g,
동원참치 살코기 라이트스탠다드 135gx20캔,참치/연어통조림,통조림,반찬/주재료,42000,4.9,54,135.0,g,
동원 고등어 300g x 3캔,고등어/꽁치통조림,통조림,반찬,6900,4.8,54,300.0,g,
동원 양반 캔볶음김치 160g,반찬/기타통조림,반찬,반찬,1980,4.9,54,160.0,g,
동원 양반 소고기 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,54,460.0,g,
동원 양반 밤단팥죽 285g,죽/스프,즉석조리식품,간편식사,2200,4.9,54,285.0,g,
동원 미니파인애플 234g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,37000,5.0,53,234.0,g,
동원 양반 전복죽 420g,죽/스프,즉석조리식품,간편식사,3400,4.9,53,420.0,g,
동원참치 콘참치 85g x 10캔,참치/연어통조림,통조림,반찬/주재료,16600,5.0,52,85.0,g,
동원 꽁치 230g x 6캔,고등어/꽁치통조림,통조림,반찬,18600,4.9,52,230.0,g,
동원 양반 수라 한우사골설렁탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.9,50,460.0,g,
동원 양반 버섯 야채죽 420g x 4개,죽/스프,즉석조리식품,간편식사,10900,4.9,50,420.0,g,
동원 양반 수라 차돌육개장 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,15000,4.9,49,460.0,g,
동원 양반 백합죽 420g x 10개,죽/스프,즉석조리식품,간편식사,23900,5.0,49,420.0,g,
동원참치 매운고추참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,5.0,48,150.0,g,
동원 양반 야채죽 287g,죽/스프,즉석조리식품,간편식사,2100,4.9,48,287.0,g,
동원 초밥의달인 큰사각유부초밥 378g x 2개,아이반찬,반찬,반찬,11900,5.0,48,378.0,g,
동원참치 고추참치 250g x 20캔,참치/연어통조림,통조림,반찬/주재료,66000,5.0,47,250.0,g,
동원참치 맛참 매콤참기름 90g x 20캔,참치/연어통조림,통조림,반찬/주재료,37000,4.9,47,90.0,g,
[4%적립금] 동원 복숭아 백도 400g x 24개(1박스),과일/옥수수/팥,통조림,간식/요리재료,48000,5.0,47,400.0,g,
동원참치 김치찌개용 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,46,150.0,g,
동원 고등어 400g x 5캔,고등어/꽁치통조림,통조림,반찬,12000,4.8,46,400.0,g,
동원 고등어 300g x 5캔,고등어/꽁치통조림,통조림,반찬,11500,4.9,46,300.0,g,
[특가] 동원 자연산왕골뱅이 400g x 4캔,골뱅이/수산통조림,통조림,안주/반찬,33400,4.9,46,400.0,g,
동원 양반 참치죽 285g x 4개,죽/스프,즉석조리식품,간편식사,7200,4.8,46,285.0,g,
동원참치 김치찌개용 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,45,150.0,g,
동원참치 동원맛참 고소참기름 135g x 10캔,참치/연어통조림,통조림,반찬/주재료,25000,5.0,45,135.0,g,
동원 지중해 황도 복숭아 820g,과일/옥수수/팥,통조림,간식/요리재료,3700,4.9,45,820.0,g,
동원 양반 밤단팥죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,45,420.0,g,
동원참치 뽀로로 키즈 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,21000,4.9,44,100.0,g,
동원 복숭아 백도 400g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,8400,4.8,44,400.0,g,
동원 양반 캔김치 160g x 10캔,반찬/기타통조림,반찬,반찬,18500,4.6,44,160.0,g,
동원 양반 수라 부대찌개 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,24000,4.8,44,460.0,g,
동원 떡볶이의신 고소한치즈 컵떡볶이 160g,떡볶이/떡류,떡류,간식,2700,4.7,42,160.0,g,
동원참치 매운고추참치 150g x 3캔,참치/연어통조림,통조림,반찬/주재료,8200,5.0,41,150.0,g,
동원 양반 진국 소고기무국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.7,41,460.0,g,
동원 양반 백합우거지된장국 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,4300,4.8,41,460.0,g,
동원 양반 백합 미역국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.8,41,460.0,g,
동원 꽁치 230g x 3캔,고등어/꽁치통조림,통조림,반찬,9900,4.9,40,230.0,g,
동원 양반 진국 사골곰탕 300g (1인분) x 20개,국/탕/찌개,즉석조리식품,간편식사,22900,4.9,40,300.0,g,
[1+1] 동원 참치액 진 900g,고춧가루/액젓,양념,조미료,12980,4.9,40,900.0,g,
동원참치 DHA 150g x 10캔,참치/연어통조림,통조림,반찬/주재료,27000,4.8,39,150.0,g,
동원참치 매운고추참치 150g x 5캔,참치/연어통조림,통조림,반찬/주재료,13500,5.0,39,150.0,g,
동원 자연산골뱅이 230g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,52800,5.0,39,230.0,g,
동원 양반 캔볶음김치 160g x 5캔,반찬/기타통조림,반찬,반찬,9500,4.9,39,160.0,g,
동원 양반 전통잣죽 285g x 4개,죽/스프,즉석조리식품,간편식사,8600,4.8,39,285.0,g,
동원 마일드참치 150g,참치/연어통조림,통조림,반찬/주재료,2800,4.9,38,150.0,g,
동원참치 DHA 250g,참치/연어통조림,통조림,반찬/주재료,3900,4.9,38,250.0,g,
동원참치 고추참치 250g x 5캔,참치/연어통조림,통조림,반찬/주재료,17800,5.0,38,250.0,g,
동원 지중해 황도 복숭아 820g x 12캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,42000,4.9,38,820.0,g,
동원 양반 백합우거지된장국 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.7,38,460.0,g,
[1+1] 동원 참치액 진 500g,고춧가루/액젓,양념,조미료,7980,5.0,38,500.0,g,
동원참치 김치찌개용 250g x 3캔,참치/연어통조림,통조림,반찬/주재료,11550,4.9,37,250.0,g,
동원참치 김치찌개용 250g x 20캔,참치/연어통조림,통조림,반찬/주재료,65990,4.9,37,250.0,g,
동원 번데기 130gx3캔,골뱅이/수산통조림,통조림,안주/반찬,4200,4.9,37,130.0,g,
동원 리챔 340g x 3캔,햄/닭가슴살,가공육,반찬/주재료,12900,5.0,37,340.0,g,
동원 양반 수라 한우사골설렁탕 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.8,37,460.0,g,
동원 양반 백합죽 420g x 4개,죽/스프,즉석조리식품,간편식사,11900,5.0,37,420.0,g,
[4%적립금] 동원참치 라이트스탠다드 250g x 36개(1박스),참치/연어통조림,통조림,반찬/주재료,115000,4.9,36,250.0,g,
동원 리챔 더블라이트 120g x 20캔,햄/닭가슴살,가공육,반찬/주재료,38000,4.9,36,120.0,g,
동원 떡볶이의신 매콤달콤 컵떡볶이 160g,떡볶이/떡류,떡류,간식,2700,5.0,36,160.0,g,
동원 양반 버섯 야채죽 420g,죽/스프,즉석조리식품,간편식사,3200,4.9,36,420.0,g,
동원참치 동원맛참 매콤참기름 135g,참치/연어통조림,통조림,반찬/주재료,2500,5.0,35,135.0,g,
동원 양반 참치죽 287g x 12개,죽/스프,즉석조리식품,간편식사,19900,5.0,35,287.0,g,
동원참치 김치찌개용 150g,참치/연어통조림,통조림,반찬/주재료,2800,4.9,34,150.0,g,
동원 미니파인애플 234g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,5700,4.9,34,234.0,g,
동원 양반 전복죽 420g x 20개,죽/스프,즉석조리식품,간편식사,51000,4.9,34,420.0,g,
동원 초밥의달인 롤유부초밥(고소한맛) 254g,아이반찬,반찬,반찬,5200,4.8,34,254.0,g,
동원홈푸드 비비드키친 저칼로리비빔장 280g,기타양념,양념,조미료,3980,4.9,34,280.0,g,
[1+1]동원 하루미 국물의신 멸치링 80g (20정),분말/액상조미료,조미료,조미료,9980,5.0,34,80.0,g,
동원 자연산꽁치 400g x 9캔,고등어/꽁치통조림,통조림,반찬,35100,4.9,33,400.0,g,
동원 화끈한골뱅이 140g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,32800,4.8,33,140.0,g,
동원 자연산골뱅이 300g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,33400,4.8,33,300.0,g,
동원 런천미트 200g,햄/닭가슴살,가공육,반찬/주재료,2500,5.0,33,200.0,g,
동원 양반 수라 차돌육개장 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.7,33,460.0,g,
동원 떡볶이의신 매콤달콤 컵떡볶이 160g x 5개,떡볶이/떡류,떡류,간식,12500,4.7,33,160.0,g,
