날짜(YYYY-MM-DD),상품 중분류 이름,등급이름,총가격(원),단위총물량(kg),산지코드,산지이름,직팜산지코드,직팜산지이름
2022-05-12,양파,특,30000.0,40.0,660950,경남 진주시 명석면,1133,경상남도 진주시
2022-08-27,양파,보통,1400000.0,1910.0,678000,경상남도 합천군,1140,경상남도 합천군
2021-07-23,양파,특,929600.0,996.0,525000,전라남도 함평군,1090,전라남도 함평군
2024-05-11,양파,특,777000.0,555.0,548840,전남 고흥군 남양면,1104,전라남도 고흥군
2024-07-18,양파,보통,5013200.0,9960.0,525000,전라남도 함평군,1090,전라남도 함평군
2025-02-04,양파,특,2704000.0,1600.0,717000,경상북도 고령군,1150,경상북도 고령군
2020-04-30,양파,특,11707200.0,17280.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2019-04-15,양파,보통,9810000.0,10800.0,697000,제주도 서귀포시,1144,제주특별자치도 서귀포시
2024-05-22,양파,특,173200.0,260.0,536880,전남 해남군 화원면,1098,전라남도 해남군
2019-03-13,양파,특,36000.0,10.0,570600,전북 익산시 익산우체국사서함,1111,전라북도 익산시
2018-05-09,양파,상,2089600.0,3270.0,695835,제주 북제주군 한림읍 한림2리,1143,제주특별자치도 북제주군
2020-08-31,양파,특,4675000.0,4080.0,579000,전라북도 부안군,1114,전라북도 부안군
2020-06-19,양파,특,850000.0,1020.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-12-01,양파,특,4750000.0,4000.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2018-12-07,양파,특,1612500.0,4000.0,906000,광주광역시 ,1083,광주광역시
2019-11-01,양파,특,1214600.0,2120.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-07-05,양파,하,485200.0,1490.0,343000,충청남도 당진시,1031,충청남도 당진시
2025-05-16,양파,하,23150000.0,28908.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-06-15,양파,특,13640.0,7.5,200140,강원 춘천시 사농동,1001,강원도 춘천시
2023-11-21,양파,특,816000.0,640.0,666940,경남 산청군 단성면,1135,경상남도 산청군
2021-10-18,양파,보통,132000.0,220.0,627110,경남 밀양시 가곡동,1123,경상남도 밀양시
2020-04-15,양파,보통,1368000.0,2565.0,695841,제주 북제주군 한경면 고산리,1143,제주특별자치도 북제주군
2020-08-07,양파,하,3375000.0,3375.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-11-13,양파,상,783000.0,1740.0,630850,경남 마산시 내서읍,1125,경상남도 마산시
2020-02-06,양파,특,6059200.0,7840.0,770000,경상북도 영천시,1166,경상북도 영천시
2020-03-03,양파,특,44836800.0,43245.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-04-21,양파,특,3682000.0,3945.0,534000,전라남도 무안군,1097,전라남도 무안군
2025-05-16,양파,특,1953000.0,2940.0,636000,경상남도 의령군,1127,경상남도 의령군
2024-06-10,양파,하,170500.0,372.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-04-22,양파,특,1269000.0,1800.0,534840,전남 무안군 현경면,1097,전라남도 무안군
2019-10-02,양파,특,998800.0,2640.0,678000,경상남도 합천군,1140,경상남도 합천군
2019-08-21,양파,상,164000.0,1640.0,770761,경북 영천시 금호읍 교대리 금호우방타운 ,1166,경상북도 영천시
2018-06-12,양파,특,1000.0,20.0,570600,전북 익산시 익산우체국사서함,1111,전라북도 익산시
2023-05-16,양파,특,7820000.0,5000.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-01-06,양파,특,4590000.0,5400.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-11-30,양파,하,873200.0,1110.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2018-05-04,양파,상,60000.0,40.0,680813,울산 남구 삼산동1∼1311,1141,울산광역시
2019-05-22,양파,특,16500.0,15.0,138000,서울특별시 송파구,1000,서울특별시
2018-10-30,양파,상,1800000.0,4000.0,711834,대구 달성군 화원읍 천내리  1∼249,1146,대구광역시
2018-07-07,양파,특,254000.0,400.0,716870,경북 군위군 고로면,1149,경상북도 군위군
2018-06-25,양파,특,12105000.0,17340.0,676000,경상남도 함양군,1139,경상남도 함양군
2022-06-07,양파,특,2040000.0,2400.0,902000,부산광역시 ,1120,부산광역시
2024-11-06,양파,특,1400000.0,1050.0,745000,경상북도 문경시,1156,경상북도 문경시
2024-07-09,양파,특,455100.0,615.0,456600,경기 안성시 안성우체국사서함,1067,경기도 안성시
2020-06-29,양파,특,159900.0,320.0,627834,경남 밀양시 산내면 송백리,1123,경상남도 밀양시
2022-12-21,양파,특,1945600.0,1520.0,641921,경남 창원시 대산면 가술리,1124,경상남도 창원시
2022-03-23,양파,상,690000.0,920.0,534729,전남 무안군 청계면 도림리 목포대학교 ,1097,전라남도 무안군
2021-06-11,양파,상,265600.0,633.6,678000,경상남도 합천군,1140,경상남도 합천군
2024-04-02,양파,보통,4717200.0,3375.0,690000,제주도 제주시,1142,제주특별자치도 제주시
2022-10-13,양파,보통,140000.0,240.0,525000,전라남도 함평군,1090,전라남도 함평군
2018-09-27,양파,상,1200000.0,1200.0,745000,경상북도 문경시,1156,경상북도 문경시
2019-03-26,양파,특,1751000.0,4080.0,770000,경상북도 영천시,1166,경상북도 영천시
2018-06-04,양파,보통,2290000.0,5860.0,320600,충남 논산시 논산우체국사서함,1022,충청남도 논산시
2020-04-10,양파,특,2900000.0,1500.0,690811,제주 제주시 삼도1동498∼502,1142,제주특별자치도 제주시
2019-05-30,양파,특,393600.0,960.0,548840,전남 고흥군 남양면,1104,전라남도 고흥군
2022-06-08,양파,보통,1160000.0,2320.0,711000,대구광역시 달성군,1146,대구광역시
2022-07-30,양파,특,398000.0,380.0,456840,경기 안성시 미양면,1067,경기도 안성시
2025-05-09,양파,하,88000.0,120.0,579000,전라북도 부안군,1114,전라북도 부안군
2018-10-03,양파,하,6308900.0,21516.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-03-01,양파,특,28710500.0,15600.0,770000,경상북도 영천시,1166,경상북도 영천시
2019-03-16,양파,특,725000.0,1300.0,902000,부산광역시 ,1120,부산광역시
2019-01-28,양파,특,1932000.0,3150.0,770000,경상북도 영천시,1166,경상북도 영천시
2019-07-24,양파,보통,1715000.0,5880.0,757850,경북 예천군 지보면,1159,경상북도 예천군
2021-06-17,양파,특,950600.0,1881.6,635000,경상남도 창녕군,1126,경상남도 창녕군
2021-10-07,양파,보통,318000.0,460.0,534729,전남 무안군 청계면 도림리 목포대학교 ,1097,전라남도 무안군
2019-04-03,양파,특,180000.0,200.0,482000,경기도 양주시,1077,경기도 양주시
2019-09-26,양파,보통,102300.0,372.0,525000,전라남도 함평군,1090,전라남도 함평군
2023-04-22,양파,특,9900000.0,9000.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-05-12,양파,특,1960000.0,2100.0,745000,경상북도 문경시,1156,경상북도 문경시
2021-06-11,양파,상,255200.0,673.2,717000,경상북도 고령군,1150,경상북도 고령군
2023-04-28,양파,특,1350370.0,450.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2018-04-19,양파,보통,730000.0,2920.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2022-07-07,양파,특,64000.0,40.0,630000,경상남도 창원시 마산회원구,1124,경상남도 창원시
2020-01-18,양파,특,6630000.0,7875.0,579000,전라북도 부안군,1114,전라북도 부안군
2025-05-06,양파,상,2250000.0,2250.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2025-04-28,양파,특,2072400.0,1584.0,717000,경상북도 고령군,1150,경상북도 고령군
2020-07-09,양파,특,19000.0,20.0,630000,경상남도 창원시 마산회원구,1124,경상남도 창원시
2025-02-24,양파,특,1140000.0,600.0,565907,전북 완주군 봉동읍 장기리,1107,전라북도 완주군
2023-05-18,양파,특,418500.0,405.0,570600,전북 익산시 익산우체국사서함,1111,전라북도 익산시
2022-10-22,양파,특,208000.0,130.0,630000,경상남도 창원시 마산회원구,1124,경상남도 창원시
2021-01-16,양파,특,880000.0,400.0,482000,경기도 양주시,1077,경기도 양주시
2021-04-17,양파,하,1320000.0,2250.0,690000,제주도 제주시,1142,제주특별자치도 제주시
2018-08-16,양파,상,3834600.0,8040.0,635800,경남 창녕군 창녕읍,1126,경상남도 창녕군
2021-02-22,양파,상,2450000.0,1050.0,745000,경상북도 문경시,1156,경상북도 문경시
2024-08-17,양파,특,357500.0,975.0,717000,경상북도 고령군,1150,경상북도 고령군
2018-08-24,양파,특,160000.0,200.0,630000,경상남도 창원시 마산회원구,1124,경상남도 창원시
2020-06-18,양파,특,7616000.0,6720.0,676000,경상남도 함양군,1139,경상남도 함양군
2020-01-09,양파,특,11707500.0,13500.0,520000,전라남도 나주시,1089,전라남도 나주시
2019-09-20,양파,특,2674000.0,5250.0,579000,전라북도 부안군,1114,전라북도 부안군
2018-02-27,양파,특,11112500.0,14000.0,711000,대구광역시 달성군,1146,대구광역시
2022-07-04,양파,하,60000.0,60.0,340000,충청남도 예산군,1030,충청남도 예산군
2023-04-28,양파,특,22410000.0,28125.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2024-09-04,양파,특,11535000.0,10125.0,502000,광주광역시 광주 서구,1083,광주광역시
2024-12-02,양파,하,9520000.0,5950.0,678000,경상남도 합천군,1140,경상남도 합천군
2023-11-07,양파,특,4128000.0,1920.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-06-21,양파,특,88000.0,165.0,320852,충남 논산시 양촌면 남산리,1022,충청남도 논산시
2020-07-01,양파,특,220500.0,300.0,138701,서울 송파구 가락1동  가락농수산물시장 ,1000,서울특별시
2024-06-26,양파,상,1000000.0,625.0,356010,충남 서산시 동문동,1035,충청남도 서산시
2021-09-07,양파,특,2524500.0,3060.0,376800,충북 보은군 보은읍,1045,충청북도 보은군
2018-01-09,양파,상,2142000.0,2040.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2025-02-22,양파,상,6426000.0,4080.0,580600,전북 정읍시 정읍우체국사서함,1116,전라북도 정읍시
2019-05-02,양파,보통,2520000.0,3600.0,600000,부산광역시 부산 중구,1120,부산광역시
2019-10-08,양파,특,325000.0,1000.0,730000,경상북도 구미시,1153,경상북도 구미시
2019-01-29,양파,특,2256000.0,5400.0,750000,경상북도 영주시,1157,경상북도 영주시
2024-10-15,양파,보통,883500.0,1120.0,630850,경남 마산시 내서읍,1125,경상남도 마산시
2023-06-16,양파,특,11535000.0,9000.0,678700,경남 합천군 합천읍 합천리 합천군청 ,1140,경상남도 합천군
2021-04-13,양파,하,325000.0,375.0,534840,전남 무안군 현경면,1097,전라남도 무안군
2018-06-23,양파,보통,7200.0,10.0,330280,충남 천안시 신당동,1026,충청남도 천안시
2020-12-16,양파,특,1533000.0,2100.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-04-12,양파,특,1820000.0,10500.0,678000,경상남도 합천군,1140,경상남도 합천군
2020-10-28,양파,특,1125000.0,750.0,330600,충남 천안시 동남구 천안우체국사서함,1026,충청남도 천안시
2022-09-01,양파,특,41980000.0,48000.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-03-29,양파,보통,1054000.0,930.0,690600,제주 제주시 제주우체국사서함,1142,제주특별자치도 제주시
2020-09-16,양파,하,132500.0,135.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2023-02-13,양파,보통,45000.0,45.0,561302,전북 전주시 덕진구 송천동2가,1106,전라북도 전주시
2019-07-15,양파,상,52500.0,300.0,645000,경상남도 진해시,1130,경상남도 진해시
2018-05-22,양파,보통,33000.0,220.0,556820,전남 여수시 화양면,1105,전라남도 여수시
2021-08-30,양파,특,1640000.0,1600.0,618804,부산 강서구 대저2동3407∼3827,1120,부산광역시
2019-10-01,양파,특,320000.0,1280.0,712719,경북 경산시 자인면  대경대학 ,1147,경상북도 경산시
2024-11-18,양파,특,3360000.0,3840.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-02-06,양파,특,4334000.0,3940.0,534804,전남 무안군 무안읍 성동리,1097,전라남도 무안군
2019-06-25,양파,특,4880000.0,16000.0,305325,대전 유성구 노은동,1019,대전광역시
2021-09-27,양파,특,60000.0,50.0,482000,경기도 양주시,1077,경기도 양주시
2022-07-25,양파,특,66660.0,45.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2021-08-06,양파,하,957000.0,870.0,526000,전라남도 영암군,1091,전라남도 영암군
2023-07-14,양파,상,2560000.0,1600.0,745150,경북 문경시 공평동,1156,경상북도 문경시
2019-09-26,양파,보통,289000.0,1020.0,565000,전라북도 완주군,1107,전라북도 완주군
2019-09-02,양파,특,1365000.0,2925.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2019-06-19,양파,상,45000.0,200.0,516812,전남 곡성군 고달면 목동리,1086,전라남도 곡성군
2022-06-13,양파,보통,118000.0,210.0,561302,전북 전주시 덕진구 송천동2가,1106,전라북도 전주시
2021-07-17,양파,상,1100900.0,2020.0,345000,충청남도 청양군,1032,충청남도 청양군
2018-12-12,양파,특,759000.0,1380.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2018-08-31,양파,특,4040.0,5.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2018-03-21,양파,특,11504000.0,16000.0,750711,경북 영주시 풍기읍  동양대학교 ,1157,경상북도 영주시
2020-12-09,양파,특,1550000.0,750.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-06-30,양파,특,168000.0,420.0,636980,경남 의령군 지정면,1127,경상남도 의령군
2022-09-01,양파,특,11219000.0,9750.0,717000,경상북도 고령군,1150,경상북도 고령군
2024-09-09,양파,특,442000.0,1020.0,742000,경상북도 상주시,1155,경상북도 상주시
2020-07-03,양파,특,58500.0,90.0,350000,충청남도 홍성군,1033,충청남도 홍성군
2022-04-01,양파,특,210000.0,1050.0,579000,전라북도 부안군,1114,전라북도 부안군
2018-01-12,양파,특,55000.0,50.0,800000,중국,1170,수입산
2024-02-15,양파,특,66000.0,45.0,901000,서울특별시 ,1000,서울특별시
2019-04-22,양파,특,5403200.0,8436.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-02-25,양파,특,8814500.0,6120.0,525000,전라남도 함평군,1090,전라남도 함평군
2022-05-10,양파,특,39100.0,96.0,534729,전남 무안군 청계면 도림리 목포대학교 ,1097,전라남도 무안군
2022-07-08,양파,하,159000.0,795.0,678000,경상남도 합천군,1140,경상남도 합천군
2021-04-26,양파,특,2317500.0,3150.0,690710,제주 제주시 삼도1동  농협중앙회제주지역본부 ,1142,제주특별자치도 제주시
2025-02-20,양파,특,2557600.0,1794.0,903000,대구광역시 ,1146,대구광역시
2018-11-15,양파,보통,4676500.0,15324.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-10-12,양파,특,407100.0,177.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-01-08,양파,특,15757000.0,13650.0,525000,전라남도 함평군,1090,전라남도 함평군
2019-04-29,양파,하,20000.0,100.0,548000,전라남도 고흥군,1104,전라남도 고흥군
2020-12-26,양파,특,3372500.0,2980.0,635700,경남 창녕군 창녕읍  창녕군청 ,1126,경상남도 창녕군
2020-05-25,양파,특,34131800.0,36324.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-10-17,양파,특,2610000.0,1755.0,730000,경상북도 구미시,1153,경상북도 구미시
2021-12-29,양파,특,12693750.0,19125.0,585000,전라북도 고창군,1115,전라북도 고창군
2025-03-08,양파,상,220000.0,100.0,770600,경북 영천시 영천우체국사서함,1166,경상북도 영천시
2022-04-05,양파,특,48328700.0,69041.0,740920,경북 김천시 구성면,1154,경상북도 김천시
2020-01-10,양파,특,2032000.0,4953.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2018-06-11,양파,상,405000.0,1080.0,637706,경남 함안군 칠서면 무릉리 에이스아파트 ,1128,경상남도 함안군
2023-01-30,양파,하,627000.0,396.0,534000,전라남도 무안군,1097,전라남도 무안군
2025-04-07,양파,특,7920000.0,4400.0,902000,부산광역시 ,1120,부산광역시
2023-10-14,양파,특,1350000.0,1500.0,800000,중국,1170,수입산
2021-12-31,양파,특,4431000.0,6300.0,536000,전라남도 해남군,1098,전라남도 해남군
2021-10-12,양파,특,375000.0,375.0,565000,전라북도 완주군,1107,전라북도 완주군
2018-06-22,양파,상,151200.0,420.0,312933,충남 금산군 진산면 삼가리,1020,충청남도 금산군
2020-07-30,양파,특,35000.0,50.0,240010,강원 동해시 천곡동,1015,강원도 동해시
2019-01-19,양파,보통,548000.0,600.0,573350,전북 군산시 나운동,1112,전라북도 군산시
2024-12-18,양파,특,2232000.0,1440.0,618804,부산 강서구 대저2동3407∼3827,1120,부산광역시
2023-05-24,양파,특,3870000.0,3600.0,656000,경상남도 거제시,1132,경상남도 거제시
2024-11-01,양파,특,5712000.0,7140.0,534000,전라남도 무안군,1097,전라남도 무안군
2022-06-18,양파,특,268800.0,315.0,565000,전라북도 완주군,1107,전라북도 완주군
2022-01-14,양파,특,6019200.0,5280.0,636000,경상남도 의령군,1127,경상남도 의령군
2024-10-14,양파,특,1252500.0,650.0,534000,전라남도 무안군,1097,전라남도 무안군
2024-06-12,양파,상,360000.0,300.0,450010,경기 평택시 평택동,1066,경기도 평택시
2018-12-14,양파,특,600000.0,900.0,635700,경남 창녕군 창녕읍  창녕군청 ,1126,경상남도 창녕군
2019-03-18,양파,상,23400.0,2.0,471080,경기 구리시 갈매동,1072,경기도 구리시
2023-01-27,양파,하,5156000.0,4800.0,471080,경기 구리시 갈매동,1072,경기도 구리시
2025-04-22,양파,특,21504000.0,15360.0,800000,중국,1170,수입산
2021-09-08,양파,하,6216000.0,6660.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2019-09-30,양파,상,1196100.0,3780.0,717000,경상북도 고령군,1150,경상북도 고령군
2024-10-16,양파,특,6292000.0,5160.0,565907,전북 완주군 봉동읍 장기리,1107,전라북도 완주군
2020-12-16,양파,특,16416000.0,32000.0,763800,경북 청송군 청송읍,1161,경상북도 청송군
2025-01-17,양파,보통,1948800.0,1680.0,360000,충청북도 청주시,1037,충청북도 청주시
2020-03-18,양파,보통,10358300.0,11720.0,678000,경상남도 합천군,1140,경상남도 합천군
2025-05-08,양파,특,2250000.0,2250.0,138160,서울 송파구 가락동,1000,서울특별시
2023-04-24,양파,하,3553000.0,6120.0,525000,전라남도 함평군,1090,전라남도 함평군
2019-01-19,양파,특,1458000.0,3600.0,635000,경상남도 창녕군,1126,경상남도 창녕군
2022-09-21,양파,특,13740.0,8.0,200140,강원 춘천시 사농동,1001,강원도 춘천시
2022-09-17,양파,하,2252500.0,2040.0,534000,전라남도 무안군,1097,전라남도 무안군
2018-07-09,양파,특,4745000.0,7800.0,534000,전라남도 무안군,1097,전라남도 무안군
2019-04-09,양파,하,6237600.0,6210.0,534841,전남 무안군 현경면 가입리,1097,전라남도 무안군
2019-02-08,양파,보통,1020000.0,3060.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-09-11,양파,보통,4034700.0,7428.0,535000,전라남도 신안군,1096,전라남도 신안군
2020-07-31,양파,특,4523600.0,5128.5,635000,경상남도 창녕군,1126,경상남도 창녕군
2024-08-09,양파,특,900000.0,1125.0,534000,전라남도 무안군,1097,전라남도 무안군
2021-04-07,양파,특,1254600.0,765.0,561302,전북 전주시 덕진구 송천동2가,1106,전라북도 전주시
2022-06-04,양파,상,813600.0,1160.0,534804,전남 무안군 무안읍 성동리,1097,전라남도 무안군
2023-06-09,양파,특,1297500.0,1125.0,534000,전라남도 무안군,1097,전라남도 무안군
2024-02-15,양파,특,375000.0,250.0,565863,전북 완주군 고산면 성재리,1107,전라북도 완주군
2023-08-25,양파,특,3900000.0,3375.0,534000,전라남도 무안군,1097,전라남도 무안군
2023-09-18,양파,특,5360000.0,4800.0,621150,경남 김해시 화목동,1121,경상남도 김해시
2023-08-23,양파,특,7567000.0,6300.0,534000,전라남도 무안군,1097,전라남도 무안군
