OrderID,Time_Order_Placed,Time_Order_Delivered,Distance_km,Delivery_Time_Minutes,Avg_Speed_kmh,Region1,Region2,Weekday,Hour,Day,PaymentMethod,CourierType,Num_Items,Tip_Amount,Traffic_Level
OD8024212338,19:54:43,20:08:54.469369,2.632,14.1912,27.799,서울특별시,중구,4,19,21,Card,Scooter,4,0.02,4
OD9601680663,07:46:28,08:08:05.747795,1.548,21.6291,11.2179,경기도,성남시 분당구,1,7,1,AppPay,Bike,3,0.11,4
OD8666533346,05:44:37,06:06:24.494289,3.832,21.7916,17.5598,서울특별시,서초구,0,5,17,AppPay,Bike,3,0.0,3
OD0729060016,17:17:13,17:33:08.458834,5.806,15.9243,26.4619,서울특별시,성북구,5,17,15,AppPay,Car,5,0.02,3
OD3785148069,18:37:13,18:39:51.954234,1.076,2.6492,24.3724,경기도,안산시 단원구,6,18,16,AppPay,Scooter,4,0.28,3
OD7762652444,18:21:13,18:28:34.733606,2.436,7.3622,28.2999,서울특별시,송파구,1,18,18,Card,Scooter,2,0.0,3
OD2802786135,01:31:23,01:38:02.977577,0.699,6.6663,23.7261,경기도,안산시 단원구,6,1,2,Cash,Car,2,0.64,4
OD4911259625,21:07:15,21:22:37.961163,2.756,15.3827,25.8947,서울특별시,동작구,3,21,20,AppPay,Scooter,3,3.0,2
OD8969574226,15:40:52,16:08:15.244212,5.348,27.3874,27.0423,서울특별시,노원구,3,15,20,AppPay,Bike,2,0.0,3
OD3207776481,02:42:37,03:03:34.118134,4.998,20.952,19.67,서울특별시,성북구,2,2,12,Card,Scooter,1,1.51,3
OD4369543686,09:27:42,09:42:59.397748,2.726,15.29,22.6176,서울특별시,마포구,2,9,12,Card,Bike,2,0.0,3
OD7738259321,00:38:22,01:00:20.845438,4.71,21.9808,13.5019,인천광역시,미추홀구,2,0,12,AppPay,Bike,2,1.76,3
OD0402288517,07:11:29,07:26:53.978328,3.864,15.4163,23.0348,서울특별시,영등포구,2,7,12,Card,Scooter,1,0.0,4
OD1428855153,08:16:14,08:27:12.647771,1.658,10.9775,19.3311,인천광역시,서구,5,8,29,Cash,Bike,2,0.03,2
OD0248645524,01:26:07,01:51:09.797862,3.299,25.0466,22.4652,서울특별시,영등포구,0,1,3,Card,Car,2,0.19,3
OD8048086345,01:19:16,01:38:55.760665,7.089,19.6627,23.4231,서울특별시,관악구,6,1,30,AppPay,Bike,3,1.01,3
OD6249463416,18:29:26,18:49:19.848061,4.021,19.8975,25.8186,서울특별시,관악구,6,18,2,AppPay,Bike,3,0.0,2
OD9602531940,00:13:09,00:24:38.791562,3.77,11.4965,19.6731,서울특별시,동작구,6,0,23,Cash,Bike,3,0.12,2
OD7399547659,03:14:03,03:36:11.924532,3.637,22.1487,14.1697,경기도,고양시 덕양구,6,3,23,Cash,Bike,1,0.59,4
OD1635913281,20:30:47,20:42:34.456768,1.9,11.7909,22.5505,서울특별시,중구,1,20,25,Cash,Bike,3,2.31,3
OD7993970537,11:07:30,11:15:46.700410,0.5,8.2783,21.7217,경기도,부천시,2,11,19,AppPay,Car,3,6.02,3
OD4840045219,20:09:09,20:22:50.471589,2.457,13.6912,16.345,서울특별시,송파구,5,20,8,AppPay,Bike,3,0.72,4
OD5400929113,01:12:35,01:31:04.794200,5.72,18.4966,25.7803,서울특별시,관악구,0,1,31,Cash,Scooter,5,4.52,3
OD3496625693,10:51:41,11:10:57.087527,4.222,19.2681,20.8731,서울특별시,영등포구,4,10,28,Card,Bike,5,1.09,3
OD0566566620,07:26:48,08:08:04.582927,5.273,41.2764,8.0,서울특별시,동작구,1,7,18,Cash,Bike,3,5.67,5
OD1109504789,19:38:19,19:55:52.001347,4.329,17.55,21.4993,서울특별시,동작구,4,19,21,Cash,Bike,3,5.12,3
OD6501968379,11:03:35,11:28:29.031968,3.809,24.9005,25.3415,경기도,안산시 상록구,0,11,3,Card,Bike,4,0.85,2
OD8165205150,00:42:26,00:59:37.888047,0.5,17.1981,26.0294,서울특별시,마포구,4,0,7,AppPay,Scooter,2,0.62,3
OD0711409427,08:20:51,08:27:39.323320,0.5,6.8054,21.5156,서울특별시,성북구,5,8,22,Cash,Bike,4,2.83,2
OD6464417257,15:25:27,15:44:17.802916,3.09,18.8467,21.7645,서울특별시,은평구,5,15,8,AppPay,Bike,2,1.38,2
OD3937003623,20:14:36,20:30:34.758544,5.717,15.9793,24.7655,서울특별시,관악구,3,20,6,Card,Car,4,0.08,3
OD1464646301,17:14:46,17:33:19.754490,2.111,18.5626,16.9341,서울특별시,서초구,5,17,22,Cash,Bike,3,0.94,3
OD6670042272,14:23:07,14:34:56.304211,1.909,11.8217,25.2307,서울특별시,강남구,1,14,4,Cash,Car,3,0.16,4
OD1768830456,03:37:26,04:10:21.039574,2.53,32.9173,14.6411,서울특별시,성동구,0,3,24,Cash,Bike,3,0.57,3
OD8374278530,21:47:27,22:08:28.923907,1.642,21.0321,25.4462,서울특별시,강남구,2,21,19,Card,Bike,3,2.61,2
OD2863913629,03:04:51,03:19:34.692276,3.462,14.7282,179.9242,경기도,성남시 중원구,3,3,27,Card,Scooter,4,0.04,2
OD5937310442,05:27:18,05:40:57.171924,3.959,13.6529,27.5642,서울특별시,중구,2,5,26,Card,Scooter,4,4.81,1
OD6290849954,03:09:52,03:26:34.840243,3.395,16.714,21.869,인천광역시,남동구,6,3,30,Card,Bike,3,0.0,2
OD9646591195,18:49:47,19:07:40.202943,3.017,17.8867,19.3836,경기도,수원시 장안구,5,18,8,AppPay,Bike,1,1.74,4
OD0390076188,16:11:55,16:17:26.086282,1.589,5.5181,21.9387,서울특별시,강서구,0,16,3,AppPay,Scooter,4,1.65,4
OD4689428338,02:28:43,02:50:10.421661,4.114,21.457,25.1832,서울특별시,서초구,2,2,26,AppPay,Scooter,1,0.0,4
OD5352428906,21:41:15,21:46:33.148668,1.699,5.3025,19.2196,경기도,수원시 장안구,0,21,3,Card,Car,4,0.0,4
OD2044206618,09:46:01,09:59:39.880965,4.548,13.648,31.4718,경기도,안산시 상록구,5,9,1,AppPay,Scooter,2,2.68,2
OD4056457547,06:14:32,06:28:56.230129,1.12,14.4038,21.7314,서울특별시,강남구,0,6,10,Cash,Car,4,0.19,3
OD3060863759,13:10:39,13:37:05.245026,6.155,26.4374,18.1919,서울특별시,종로구,0,13,24,Cash,Scooter,6,0.15,4
OD2157699678,23:37:00,23:56:16.427685,2.919,19.2738,17.8131,서울특별시,중구,6,23,9,Cash,Car,3,6.19,3
OD1194989606,02:16:14,02:36:03.961110,2.283,19.8327,20.1832,경기도,성남시 중원구,3,2,13,AppPay,Bike,2,1.1,3
OD0416398878,07:16:32,07:40:52.162394,3.834,24.336,21.9618,경기도,안산시 단원구,1,7,11,Cash,Bike,2,0.19,3
OD6354270999,06:40:28,06:56:29.586513,4.97,16.0264,24.2794,경기도,수원시 장안구,3,6,20,AppPay,Car,2,0.17,3
OD5380402126,10:22:13,10:37:24.928052,2.192,15.1988,22.7677,서울특별시,강서구,1,10,1,Card,Car,3,2.61,3
OD0170592071,21:54:32,22:07:16.881334,3.503,12.748,18.9749,경기도,김포시,1,21,25,Card,Bike,2,0.6,3
OD5829339142,13:07:57,13:20:39.167920,0.5,12.7028,17.568,인천광역시,부평구,2,13,19,Card,Bike,3,0.0,2
OD2652364139,21:49:07,22:09:05.719733,2.712,19.9787,16.7963,인천광역시,연수구,2,21,26,Card,Bike,3,2.91,2
OD0042380218,00:40:48,00:51:46.914015,0.884,10.9819,18.9523,인천광역시,연수구,0,0,3,Card,Bike,5,1.27,3
OD7881893715,06:43:44,06:51:51.973701,3.759,8.1329,32.19,서울특별시,성북구,1,6,11,Cash,Bike,5,4.45,1
OD6124109433,21:20:16,21:36:53.634320,1.738,16.6272,14.4728,서울특별시,서초구,0,21,31,AppPay,Bike,1,,4
OD0610035174,00:26:50,00:49:27.918532,4.154,22.632,28.1839,서울특별시,관악구,2,0,12,Card,Scooter,4,1.38,3
OD1831079444,17:34:31,17:52:21.979804,2.433,17.8497,15.6477,서울특별시,서초구,1,17,25,AppPay,Bike,4,3.02,4
OD1355923351,12:41:20,13:04:43.617971,5.816,23.3936,23.1483,서울특별시,강남구,5,12,15,AppPay,Scooter,4,0.49,2
OD1050401801,23:24:46,23:48:38.431892,5.079,23.8739,22.4586,서울특별시,용산구,0,23,17,Cash,Scooter,4,0.6,5
OD6774743017,09:50:29,10:08:12.588897,3.631,17.7265,14.1041,인천광역시,미추홀구,5,9,22,Card,Bike,2,1.54,3
OD7880708417,16:18:12,16:29:54.585024,0.5,11.7098,26.3156,인천광역시,동구,0,16,24,Card,Scooter,2,1.22,4
OD1711538141,07:00:56,07:39:45.802195,5.469,38.83,11.8111,경기도,안산시 단원구,1,7,4,AppPay,Bike,6,2.82,4
OD9121744933,00:19:44,00:38:06.195148,5.16,18.3699,21.5477,서울특별시,성동구,6,0,23,Card,Scooter,3,0.0,3
OD1164529284,04:50:14,05:28:17.517512,5.694,38.0586,13.6286,경기도,안산시 단원구,1,4,25,Card,Bike,4,2.27,4
OD8027933798,03:19:21,03:40:47.809038,3.443,21.4468,149.2601,서울특별시,동작구,1,3,18,Cash,Bike,4,0.45,3
OD2239798952,11:28:55,11:48:14.179251,1.984,19.3197,16.2038,서울특별시,영등포구,6,11,16,Cash,Bike,2,1.08,3
OD1524151824,17:49:37,18:18:21.948214,4.659,28.7491,14.7709,경기도,용인시 기흥구,3,17,13,Cash,Bike,2,0.0,4
OD5929166040,03:15:19,03:24:19.370791,0.876,9.0062,20.6316,경기도,평택시,5,3,15,Card,Bike,4,0.6,2
OD5981179259,17:32:42,17:44:49.373488,3.487,12.1229,28.4023,경기도,수원시 영통구,4,17,14,Cash,Scooter,2,0.03,3
OD4548332930,23:48:27,00:03:00.692530,3.907,14.5615,30.3667,서울특별시,관악구,6,23,2,Cash,Scooter,3,0.28,3
OD1892572231,18:11:20,18:20:11.991072,0.5,8.8665,22.2611,서울특별시,은평구,2,18,5,Card,Scooter,3,0.68,3
OD1050107570,03:44:58,04:03:02.879614,3.462,18.0813,11.4887,서울특별시,종로구,6,3,16,Card,Bike,3,2.78,5
OD8449226381,06:27:51,06:43:41.079132,1.784,15.8347,18.9646,서울특별시,성동구,0,6,24,AppPay,Bike,3,1.77,2
OD6379685696,23:05:06,23:11:11.324140,2.394,6.0887,23.5916,경기도,시흥시,6,23,9,Cash,Scooter,5,1.44,3
OD7786905554,23:08:07,23:19:10.047383,1.041,11.0508,25.9663,서울특별시,강남구,5,23,22,AppPay,Scooter,3,2.28,4
OD0242825747,03:00:13,03:15:32.941989,5.995,15.3324,26.0903,서울특별시,관악구,0,3,3,AppPay,Car,3,1.96,3
OD3913473416,11:06:31,11:16:52.869108,2.464,10.3645,15.8203,서울특별시,노원구,6,11,16,AppPay,Bike,4,1.03,3
OD9423032040,06:24:09,06:39:12.178832,2.652,15.053,15.7178,경기도,시흥시,5,6,8,Card,Bike,3,0.77,4
OD8236816824,17:37:50,17:47:47.867265,3.933,9.9645,31.4069,서울특별시,용산구,3,17,6,Card,Scooter,4,1.16,4
OD1927320967,02:23:28,02:33:36.910698,0.71,10.1485,26.0302,서울특별시,동작구,6,2,23,AppPay,Scooter,4,0.79,3
OD6667022629,03:49:43,04:10:28.306595,2.884,20.7551,13.8357,서울특별시,성동구,3,3,27,Card,Bike,1,1.93,3
OD4725477546,01:38:36,01:53:21.748968,2.697,14.7625,14.5799,경기도,성남시 중원구,6,1,16,Card,Bike,2,0.15,3
OD4402905938,14:26:06,14:32:28.609249,0.5,6.3768,24.4101,서울특별시,용산구,2,14,26,AppPay,Car,4,1.09,3
OD0281346947,04:57:11,05:06:19.594632,2.391,9.1432,20.1961,경기도,성남시 중원구,4,4,28,Card,Car,1,4.21,4
OD4832226465,19:03:51,19:21:34.006285,2.554,17.7168,25.221,서울특별시,성북구,3,19,20,AppPay,Bike,2,0.0,2
OD3186644610,20:14:27,20:41:15.530960,3.049,26.8088,20.8498,경기도,시흥시,5,20,15,Card,Bike,4,2.4,5
OD1634269045,10:38:42,10:55:14.001618,3.049,16.5334,26.1542,경기도,고양시 덕양구,1,10,1,AppPay,Scooter,4,0.82,4
OD2053925488,04:01:56,04:12:52.209989,1.273,10.9368,21.4928,인천광역시,계양구,2,4,5,AppPay,Scooter,2,1.47,5
OD4057290062,12:46:05,13:04:12.618599,5.501,18.127,31.3625,서울특별시,용산구,1,12,25,Cash,Scooter,6,2.07,2
OD7927161806,21:28:22,21:40:00.569780,2.598,11.6428,28.8897,서울특별시,노원구,5,21,15,Cash,Car,2,0.8,2
OD5185209888,06:47:18,07:15:15.788792,4.685,27.9631,14.9744,서울특별시,동작구,1,6,18,Cash,Bike,3,0.15,3
OD6917829674,08:38:05,09:00:42.426074,4.434,22.6238,31.3569,서울특별시,중구,1,8,18,Card,Scooter,3,0.56,3
OD2738994249,03:17:09,03:53:57.635770,7.435,36.8106,19.0798,경기도,안산시 단원구,5,3,1,Card,Bike,3,2.0,3
OD9929585681,23:30:41,00:03:15.391867,7.591,32.5732,18.7001,서울특별시,은평구,5,23,15,Cash,Car,5,1.53,3
OD4792316685,19:34:11,19:54:56.360257,4.916,20.756,20.314,인천광역시,동구,5,19,8,AppPay,Bike,1,3.93,2
OD6719889823,22:08:59,22:18:49.534352,3.987,9.8422,24.3042,경기도,평택시,1,22,11,Cash,Scooter,4,1.39,4
OD5502919911,02:03:31,02:06:32.442889,0.5,3.024,36.3715,인천광역시,연수구,5,2,8,AppPay,Scooter,1,1.78,2
OD2842843141,00:22:06,00:24:38.978036,0.5,2.5496,27.0997,인천광역시,미추홀구,1,0,11,Cash,Bike,3,0.0,1
OD6852005322,18:59:48,19:26:01.606599,3.304,26.2268,16.6431,서울특별시,성북구,6,18,16,Card,Scooter,5,0.24,3
OD5758855158,09:45:12,10:01:19.807305,3.056,16.1301,23.8168,서울특별시,강남구,6,9,30,Card,Car,2,3.52,3
OD8530438665,18:11:03,18:32:24.339083,3.32,21.3557,23.8116,서울특별시,동작구,6,18,2,AppPay,Bike,3,1.67,1
OD3617149581,14:37:11,14:41:39.862118,1.319,4.481,22.1963,인천광역시,동구,1,14,11,Card,Car,2,0.0,2
OD8916399592,02:52:21,03:11:37.190541,3.689,19.2698,19.0936,서울특별시,종로구,3,2,6,Card,Bike,4,1.54,2
OD7942361318,01:29:31,01:41:28.397717,4.636,11.9566,23.2647,인천광역시,부평구,3,1,27,Cash,Scooter,3,2.05,5
OD8213743136,11:31:34,11:40:44.052729,2.433,9.1675,28.3583,서울특별시,관악구,3,11,13,AppPay,Car,3,5.67,3
OD0728719894,03:56:01,04:22:05.865615,4.773,26.0811,22.4545,경기도,안산시 단원구,1,3,18,Cash,Bike,1,1.02,2
OD4504139988,10:14:40,10:41:31.579863,4.654,26.8597,22.3193,서울특별시,용산구,0,10,17,AppPay,Scooter,3,0.87,4
OD4786413740,01:30:20,01:39:24.261835,2.512,9.071,16.618,서울특별시,중구,0,1,3,Cash,Bike,4,0.22,3
OD6612482097,10:55:01,11:07:27.231468,3.895,12.4372,29.2674,서울특별시,관악구,6,10,9,Cash,Scooter,3,4.03,3
OD8829026657,19:15:17,19:35:44.587474,2.847,20.4598,19.1397,서울특별시,동작구,0,19,24,Cash,Bike,4,5.41,2
OD0592549429,13:58:45,14:23:33.501235,4.614,24.8084,25.8949,서울특별시,송파구,6,13,23,Card,Scooter,5,1.83,4
OD9988877510,21:50:45,22:08:44.399380,4.597,17.99,23.2355,서울특별시,구로구,4,21,14,Cash,Scooter,4,4.68,4
OD8933800504,19:48:30,20:11:55.934170,6.537,23.4322,27.104,경기도,수원시 영통구,4,19,14,Cash,Car,5,3.31,2
OD1775519015,19:38:59,19:47:41.147027,0.888,8.7025,16.2044,서울특별시,강남구,2,19,26,Card,Bike,4,0.22,4
OD5763287359,23:54:56,00:12:34.218305,5.13,17.637,20.6263,서울특별시,영등포구,5,23,29,Cash,Bike,3,2.46,2
OD1078315866,02:01:59,02:18:46.226355,4.608,16.7871,23.713,서울특별시,중구,2,2,19,AppPay,Scooter,5,5.08,4
OD9788666209,01:53:04,02:22:29.083718,5.425,29.4181,24.636,경기도,안산시 상록구,2,1,5,Card,Car,3,2.22,3
OD5287770972,05:52:43,06:09:38.065874,3.004,16.9178,26.3628,서울특별시,강남구,5,5,22,AppPay,Bike,5,0.0,1
OD8837234997,02:18:39,02:35:38.794610,3.707,16.9966,24.6355,서울특별시,관악구,2,2,12,AppPay,Scooter,4,0.23,5
OD2383539071,23:06:56,23:20:25.992578,4.011,13.4999,24.7077,서울특별시,서초구,4,23,28,Card,Bike,3,0.67,3
OD6118940089,10:07:09,10:24:10.242570,3.36,17.0207,22.3351,서울특별시,서초구,5,10,29,Cash,Scooter,1,1.91,3
OD0499420941,09:10:58,09:46:18.584511,5.574,35.3431,20.1781,서울특별시,노원구,4,9,28,Card,Scooter,4,0.0,4
OD4716389035,10:10:25,10:27:41.981598,2.655,17.283,30.0392,서울특별시,서초구,4,10,28,AppPay,Scooter,3,0.0,1
OD1092547896,13:14:58,13:28:05.797528,3.239,13.13,17.4973,서울특별시,마포구,6,13,23,AppPay,Bike,1,0.48,3
OD0307385528,14:29:35,14:49:02.111036,2.979,19.4519,21.5357,서울특별시,성동구,6,14,2,Cash,Scooter,4,4.14,3
OD5203103493,06:23:38,06:29:41.875841,2.206,6.0646,26.5498,서울특별시,마포구,2,6,12,AppPay,Scooter,3,0.58,4
OD7935305366,01:09:28,01:23:10.972327,1.895,13.7162,10.0831,경기도,용인시 기흥구,1,1,18,AppPay,Bike,7,2.93,5
OD7578707096,10:49:40,11:03:38.935046,2.468,13.9823,20.4026,서울특별시,송파구,5,10,15,Cash,Car,4,0.24,3
OD0514598739,04:48:11,05:10:53.171395,4.733,22.7029,25.089,서울특별시,성북구,5,4,29,Cash,Car,2,2.15,2
OD5278167991,13:55:34,14:07:18.032952,2.514,11.7339,25.8403,서울특별시,강서구,5,13,15,AppPay,Scooter,6,0.62,2
OD2557647244,07:12:57,07:30:14.510111,3.407,17.2918,21.6168,서울특별시,성북구,3,7,6,AppPay,Bike,2,0.52,3
OD1811730952,10:17:35,10:32:20.297769,2.028,14.755,18.0549,경기도,수원시 장안구,6,10,30,Card,Car,3,0.88,3
OD1081875721,04:01:41,04:18:12.943193,3.863,16.5324,28.096,서울특별시,강서구,1,4,4,Cash,Scooter,3,0.0,2
OD2667977791,01:59:03,02:30:38.317767,5.203,31.5886,17.863,경기도,용인시 기흥구,6,1,30,Cash,Bike,2,0.9,2
OD7459008137,12:42:46,12:58:43.828309,4.26,15.9638,25.6,서울특별시,서초구,5,12,1,Cash,Scooter,2,4.51,4
OD7158693071,07:21:29,07:42:00.900751,2.446,20.5317,17.5012,인천광역시,서구,2,7,5,AppPay,Bike,1,1.1,4
OD6490060415,02:03:16,03:15:29.720866,7.776,72.2287,8.0,경기도,부천시,3,2,27,Card,Bike,4,1.62,4
OD1002827999,19:45:34,20:00:38.056252,1.432,15.0676,22.9039,서울특별시,서초구,0,19,3,Cash,Car,5,0.22,3
OD6775891129,05:06:42,05:23:11.472103,4.272,16.4912,38.8105,인천광역시,동구,4,5,21,Cash,Scooter,3,0.32,2
OD8132050679,22:50:57,23:08:09.039999,2.865,17.2007,22.1167,서울특별시,성동구,2,22,26,Cash,Bike,1,0.77,4
OD2724327915,19:35:26,19:59:35.421456,4.999,24.157,19.3706,인천광역시,남동구,1,19,11,Card,Bike,2,0.3,4
OD8220258846,03:05:57,03:14:34.221782,1.974,8.6204,29.1753,경기도,고양시 덕양구,1,3,4,Cash,Scooter,1,1.37,4
OD3692346201,15:42:18,16:00:09.351255,4.564,17.8559,31.0461,경기도,수원시 장안구,5,15,15,Card,Scooter,3,1.74,3
OD3027396214,14:31:56,14:43:54.087824,4.919,11.9681,31.1643,서울특별시,중구,6,14,16,Card,Car,3,1.92,2
OD6233247531,18:56:05,19:15:58.793160,1.925,19.8966,33.0818,경기도,용인시 수지구,6,18,2,Card,Scooter,2,1.16,2
OD5442403018,01:39:58,01:50:21.958053,3.998,10.3993,23.519,서울특별시,강서구,4,1,21,Cash,Bike,4,0.84,2
OD9664146158,09:26:39,09:50:37.771794,4.412,23.9795,16.8974,서울특별시,용산구,4,9,28,Card,Bike,1,0.97,4
OD8002176919,22:33:16,22:41:05.013702,2.684,7.8169,26.2436,서울특별시,중구,5,22,15,AppPay,Scooter,3,0.05,3
OD2683154702,19:45:11,20:14:38.918525,4.235,29.4653,18.1267,서울특별시,중구,6,19,2,AppPay,Bike,1,1.62,3
OD5471225723,22:49:13,23:04:32.768063,3.329,15.3295,27.258,경기도,안산시 상록구,6,22,23,AppPay,Scooter,2,1.2,3
OD2480359144,20:14:07,20:35:34.448873,5.202,21.4575,21.2828,서울특별시,강서구,5,20,29,AppPay,Bike,3,3.06,2
OD0813424286,11:36:29,12:11:49.551847,3.482,35.3425,8.0,서울특별시,송파구,1,11,1,Card,Bike,5,1.15,5
