OrderID,Num_Traffic_Lights
OD1811730952,4.0
OD1081875721,13.0
OD2667977791,19.0
OD7459008137,8.0
OD7158693071,4.0
OD6490060415,6.0
OD1002827999,19.0
OD6775891129,14.0
OD8132050679,7.0
OD2724327915,6.0
OD8220258846,4.0
OD3692346201,20.0
OD3027396214,7.0
OD6233247531,23.0
OD5442403018,12.0
OD9664146158,5.0
OD8002176919,16.0
OD2683154702,6.0
OD5471225723,7.0
OD2480359144,18.0
OD0813424286,17.0
OD6203669278,10.0
OD5814546794,20.0
OD1948341471,22.0
OD9796567655,6.0
OD3429090420,8.0
OD5137567654,23.0
OD7451589440,16.0
OD8142883435,16.0
OD8516248425,23.0
OD4966217595,4.0
OD2970853265,7.0
OD7901124345,20.0
OD0064198910,23.0
OD6443479020,20.0
OD1874140299,5.0
OD0758774209,13.0
OD0453965603,7.0
OD1286578957,12.0
OD7914919696,14.0
OD3918919338,18.0
OD2819830781,14.0
OD8774481063,11.0
OD1257909036,8.0
OD4391604014,5.0
OD9866380225,13.0
OD5949326556,8.0
OD4472040658,22.0
OD1897996941,14.0
OD1664128598,9.0
OD3176806499,15.0
OD1432152187,7.0
OD7957668153,13.0
OD0547785144,13.0
OD3526418267,10.0
OD0109021587,10.0
OD0014945913,4.0
OD2330123346,10.0
OD6803882429,12.0
OD4075631702,11.0
OD8921589197,9.0
OD8101562141,13.0
OD4280860514,14.0
OD4792209877,23.0
OD3745963507,20.0
OD4330893104,7.0
OD1180422798,7.0
OD8383136862,14.0
OD2046783909,18.0
OD9240412624,8.0
OD7175415343,13.0
OD6382968007,21.0
OD9012411488,19.0
OD0810540750,6.0
OD5354510341,20.0
OD6629606165,6.0
OD3326572577,16.0
OD4334188345,6.0
OD7032416139,8.0
OD1063861223,14.0
OD8682136952,22.0
OD9689827871,5.0
OD3582687066,20.0
OD6538221814,18.0
OD9085804910,13.0
OD2708713543,22.0
OD6091420282,23.0
OD6973696918,16.0
OD5227939053,5.0
OD5130900890,18.0
OD6725017937,15.0
OD8469322465,13.0
OD7809336773,22.0
OD9571466457,8.0
OD9109964906,6.0
OD4501877442,4.0
OD1580601979,10.0
OD5288670900,19.0
OD0177238028,12.0
OD8361115408,9.0
OD9519589382,12.0
OD8677369203,6.0
OD9372241252,14.0
OD1258438480,5.0
OD9206169106,9.0
OD9782335834,23.0
OD2104118638,4.0
OD2714678297,13.0
OD5700116510,18.0
OD5376279499,13.0
OD2130059403,23.0
OD3615200798,15.0
OD2219761995,16.0
OD2601536688,12.0
OD8719684412,22.0
OD5669335095,14.0
OD2575730810,21.0
OD7032049052,20.0
OD9547372810,21.0
OD5957217234,17.0
OD1055853499,15.0
OD2309762420,21.0
OD3363924732,6.0
OD6121603697,18.0
OD1709681176,14.0
OD9254440757,18.0
OD0904139190,12.0
OD5082271018,7.0
OD8934205929,9.0
OD0209007465,7.0
OD9924903529,11.0
OD7688674669,16.0
OD2687070989,21.0
OD6719755267,23.0
OD8700912145,5.0
OD5964510465,23.0
OD0474573484,5.0
OD8932884125,8.0
OD7688678452,20.0
OD0100256609,21.0
OD9384475236,21.0
OD9041124205,20.0
OD3970238975,23.0
OD8385096511,22.0
OD1905737203,11.0
OD1130213651,4.0
OD9302362314,8.0
OD6055550863,6.0
OD3945314099,17.0
OD5770961702,5.0
OD0753133141,17.0
OD8007758180,10.0
OD9872070871,11.0
OD0710639519,4.0
OD6762871269,15.0
OD1887422035,23.0
OD0861044985,4.0
OD8566657008,8.0
OD6400056991,13.0
OD3708768597,18.0
OD2731865899,11.0
OD0700955975,14.0
OD2362522056,16.0
OD4108005096,22.0
OD8335459753,12.0
OD4371845512,12.0
OD4103313436,21.0
OD0664588493,8.0
OD4221594400,7.0
OD6857980547,12.0
OD9400738167,19.0
OD1693315175,16.0
OD3141408184,20.0
OD7787139927,14.0
OD7084605750,10.0
OD0354578568,21.0
OD9124643171,12.0
OD6624578322,22.0
OD6615984184,11.0
OD2409098439,5.0
OD1054380285,14.0
OD2256279907,7.0
OD3663393503,11.0
OD7422650892,14.0
OD8495006567,7.0
OD1415808971,21.0
OD1513136852,9.0
OD5266753560,17.0
OD3598741295,18.0
OD1707277662,9.0
OD3869727911,9.0
OD0007261697,5.0
OD3236890597,13.0
OD7059543899,10.0
OD2853987604,23.0
OD9446653489,10.0
OD3829395873,19.0
OD6258375562,9.0
OD8289893751,9.0
OD5073967503,17.0
OD8823575167,16.0
OD8456680868,23.0
OD9250434104,5.0
OD3136953784,7.0
OD7670504410,11.0
OD5734690168,14.0
OD8804886212,16.0
OD7222470156,21.0
OD4937080650,13.0
OD4060966604,13.0
OD2051322211,23.0
OD0754596957,20.0
OD2581943379,19.0
OD4010651588,9.0
OD9722969565,7.0
OD2204434822,14.0
OD4213399676,21.0
OD9844653422,6.0
OD4726306233,15.0
OD3165454519,5.0
OD7792967914,5.0
OD0710577168,8.0
OD1190594698,16.0
OD5771350933,17.0
OD6426706472,19.0
OD2906901460,22.0
OD5122859246,17.0
OD3896662859,21.0
OD1481357851,9.0
OD0474225288,9.0
OD8325117509,5.0
OD0341150178,18.0
OD7761616729,18.0
OD9304166489,10.0
OD4741811918,18.0
OD1752187126,11.0
OD5456766823,17.0
OD9377810596,18.0
OD6545164617,16.0
OD9277684636,17.0
OD3875289111,16.0
OD9767344170,6.0
OD2859840537,9.0
OD1306834371,16.0
OD0164097695,22.0
OD5213378416,16.0
OD1858204066,9.0
OD5842587666,17.0
OD9835561182,14.0
OD8366649609,14.0
OD0214007782,12.0
OD7691970873,11.0
OD1985671351,14.0
OD0178075228,8.0
OD4069185836,20.0
OD1080115131,16.0
OD4958814441,15.0
OD0470745220,20.0
OD6121682262,11.0
OD4939240747,17.0
OD2421073534,19.0
OD2952808071,4.0
OD8399876878,10.0
OD3758953095,15.0
OD6059389881,15.0
OD2222054353,5.0
OD2686161223,8.0
OD9053315973,19.0
OD1664791555,8.0
OD1385919444,13.0
OD3077195389,16.0
OD9929780733,20.0
OD4118064591,14.0
OD9851502707,22.0
OD2835169124,6.0
OD5222535386,5.0
OD6513197566,18.0
OD0786949033,19.0
OD8489903392,13.0
OD7398329563,7.0
OD2243335685,23.0
OD1283756216,14.0
OD5469739942,4.0
OD6007123946,20.0
OD2584017011,14.0
OD3417509160,10.0
OD1349146712,15.0
OD1158822737,5.0
OD9866287274,13.0
OD0669399036,18.0
OD9968206781,6.0
OD4416782470,17.0
OD2037596396,12.0
OD6616525388,21.0
OD5524460874,20.0
OD4739656498,14.0
OD0646061561,8.0
OD2620244213,5.0
OD1966622215,17.0
OD8075305934,12.0
OD0775034545,11.0
OD8931950664,13.0
OD8781633687,6.0
OD5724721998,19.0
OD8410172953,23.0
OD1775079160,22.0
OD2321541019,18.0
OD2608443511,9.0
OD5172199837,12.0
OD3473469439,12.0
OD7058635369,15.0
OD2645998436,12.0
OD3386993416,9.0
OD7858683330,9.0
OD6427391729,5.0
OD7272346213,16.0
OD7193530339,5.0
OD7373879676,17.0
OD4164322021,14.0
OD4414344839,5.0
OD2842480893,23.0
OD0642170418,14.0
OD0627141154,11.0
OD7602415562,16.0
OD1902453245,19.0
OD9098386939,5.0
OD1207917200,7.0
OD6901277043,8.0
OD5840112811,8.0
OD9186114546,13.0
OD1811188311,11.0
OD4421335412,6.0
OD1236859794,5.0
OD4251406784,22.0
OD4982502283,21.0
OD6316133387,8.0
OD9724830783,6.0
OD3673291221,9.0
OD1351041663,6.0
OD4952492580,12.0
OD6677733744,15.0
OD1737656702,21.0
OD5715627661,8.0
OD4482828957,18.0
OD8790372311,5.0
OD2416725148,21.0
OD9880121392,12.0
OD4623379375,7.0
OD3851817186,11.0
OD0785468886,18.0
OD4669369780,19.0
OD7543246022,15.0
OD1616536906,13.0
OD3292145229,15.0
OD5574871471,14.0
OD9653077171,14.0
OD5970357596,15.0
OD4335132786,6.0
OD4777116847,18.0
OD1938135362,23.0
OD7885951953,13.0
OD4484635348,14.0
OD4804700580,20.0
OD6220686971,10.0
OD1202325502,17.0
OD0414027970,15.0
OD1335066783,11.0
OD6100319322,9.0
OD4183095522,23.0
OD1591085912,19.0
OD5923882755,17.0
OD6173194103,6.0
OD7959701410,7.0
OD7031872355,4.0
OD5870010868,18.0
OD8479177761,12.0
OD9917142068,23.0
OD0549845908,12.0
OD8763177540,19.0
OD0249206310,14.0
OD5910125205,15.0
OD0338702422,21.0
OD3927555148,6.0
OD4993238283,22.0
OD5342365667,19.0
OD5454461721,11.0
OD9753221393,8.0
OD0501153256,18.0
OD6797948751,17.0
OD0582029838,12.0
OD7728452839,23.0
OD1609369789,20.0
OD5477665353,16.0
OD4493256434,4.0
OD1737059815,9.0
OD3403737406,20.0
OD6639445713,9.0
OD9909709963,5.0
OD6351166894,18.0
OD4772751833,21.0
OD6166220279,14.0
OD9355406392,11.0
OD7401009767,23.0
OD9477240052,4.0
OD9306704372,20.0
OD6925885881,20.0
OD2271059634,19.0
OD1184082238,14.0
OD1861076239,7.0
OD2794322982,20.0
OD1765646759,17.0
OD8405035029,10.0
OD8905660334,21.0
OD9749923271,14.0
OD4600221584,6.0
OD3371417952,5.0
OD6596325210,17.0
OD1508773748,10.0
OD0255293888,21.0
OD7371554471,20.0
OD9432551774,4.0
OD4902188982,5.0
OD8323429231,20.0
OD5331834640,19.0
OD0030935616,16.0
OD6227013261,9.0
OD7114903751,17.0
OD7019454269,22.0
OD4827642072,7.0
OD2179192790,6.0
OD3681212073,21.0
OD6378650675,10.0
OD9203106725,17.0
OD7889614933,5.0
OD6768149360,16.0
OD3289873930,22.0
OD9633696773,6.0
OD0813050728,13.0
OD7882123511,18.0
OD6963584723,8.0
OD0479077079,19.0
OD3980220524,22.0
OD4881495805,22.0
OD8258254292,17.0
OD3844768155,21.0
OD3528140340,12.0
OD4207647262,11.0
OD5354711573,14.0
OD0866972480,11.0
OD8939658167,14.0
OD5968048329,23.0
OD0993459289,10.0
OD6289854783,16.0
OD3023435485,17.0
OD2685341767,13.0
OD8154279902,10.0
OD1014144968,14.0
OD2483221826,20.0
OD7526575597,6.0
OD9590316323,22.0
OD7792250398,14.0
OD6520768166,15.0
OD2158992326,7.0
OD1435511498,18.0
OD9064482549,10.0
OD8832377770,16.0
OD3048781910,20.0
OD1135183015,18.0
OD7072914396,18.0
OD4680244788,16.0
OD6087516497,4.0
OD4227299422,7.0
OD7338833820,8.0
OD1699883397,13.0
OD6692078310,10.0
OD7439996223,17.0
OD8285577048,6.0
OD9294478609,18.0
OD0159565621,13.0
OD5337309170,4.0
OD7879583092,20.0
OD4997151142,12.0
OD0949543799,9.0
OD6749453903,8.0
OD2467540583,17.0
OD5724625190,18.0
OD8910018090,19.0
OD6375152593,17.0
OD2509140420,11.0
OD0651607086,9.0
OD5018786001,22.0
OD6197292349,7.0
OD3109639024,22.0
OD3940436548,20.0
OD8699147498,16.0
OD1933944652,7.0
OD1196006263,8.0
OD9747821606,23.0
OD6384167435,14.0
OD4868616659,22.0
OD3795382417,9.0
OD4157672128,13.0
OD4435679350,15.0
OD7942824805,23.0
OD2138158532,11.0
OD1626380533,6.0
OD3688409820,4.0
OD8477156914,14.0
OD3704729165,8.0
OD8680249509,6.0
OD7566468582,16.0
OD1272395551,8.0
OD6012953423,13.0
OD0871348918,13.0
OD2069877269,8.0
OD0173848317,16.0
OD2915786869,17.0
OD3537140315,5.0
OD4718779387,11.0
OD1743054977,8.0
OD0939430310,6.0
OD1585854655,7.0
OD8500099444,8.0
OD1471714141,4.0
OD2621609111,13.0
OD4430217705,12.0
OD9167796541,22.0
OD3370644959,14.0
OD5836945807,19.0
OD1724025733,7.0
OD3422322550,5.0
OD4846413499,14.0
OD0927209284,9.0
OD8751685120,6.0
OD2360912544,19.0
OD4619312518,23.0
OD1470175525,15.0
OD7150362382,11.0
OD5617580875,11.0
OD5202952796,9.0
OD3983657997,4.0
OD5736573715,18.0
OD5515853022,8.0
OD2081067279,5.0
OD8836611138,22.0
OD7256205414,22.0
OD6785357522,23.0
OD2270926601,10.0
OD9755259004,6.0
OD1416987849,8.0
OD3053944705,6.0
OD5982303614,17.0
OD5178880774,22.0
OD3004085384,12.0
OD9834025399,12.0
OD1626745898,21.0
OD4119111370,10.0
OD5571504756,11.0
OD2016975626,14.0
OD4071366745,12.0
OD8959871827,19.0
OD4268193285,12.0
OD4954331319,13.0
OD8691750670,20.0
OD9237075979,21.0
OD7614121882,18.0
OD2473056960,14.0
OD0853763905,11.0
OD7304584538,19.0
OD6791440700,5.0
OD0181507866,7.0
OD3881207891,15.0
OD7329191098,6.0
OD9556154638,14.0
OD7351724261,10.0
OD8550160403,5.0
OD5277310901,8.0
OD8925824804,15.0
OD1139691667,16.0
OD2697098707,17.0
OD2479882146,6.0
OD8855046045,4.0
OD4832357781,11.0
OD5388106556,10.0
OD1856952033,9.0
OD7680309179,13.0
OD2405697147,14.0
OD3129483051,19.0
OD7497122786,4.0
OD0444838286,13.0
OD4389234080,7.0
OD6594747815,13.0
OD6832229403,18.0
OD1089601633,10.0
OD3834631591,7.0
OD7766158719,9.0
OD1836896439,6.0
OD1854822597,23.0
OD0734359478,7.0
OD8546648255,11.0
OD3444013878,18.0
OD6986598059,21.0
OD6472662478,21.0
OD0780189150,8.0
OD0323972497,4.0
OD0863851720,5.0
OD5256823069,5.0
OD4760873941,20.0
OD6387616365,4.0
OD7624557568,15.0
OD1591068590,11.0
OD2583581920,8.0
OD1132463131,
OD2623084763,10.0
OD2074372441,17.0
OD1002612449,12.0
OD5216827413,12.0
OD4326952578,7.0
OD2037560098,14.0
OD0368246713,13.0
OD3143976799,10.0
OD0949588582,10.0
OD5389394775,16.0
OD5753294095,16.0
OD5440687480,11.0
OD2678619579,7.0
OD1435403084,20.0
OD2687039364,5.0
OD7787804539,18.0
OD9721928805,6.0
OD2982513166,9.0
OD6329698032,20.0
OD5889294193,15.0
OD3703424455,23.0
OD0755863629,16.0
OD4716478963,15.0
OD0120970759,13.0
OD7887127182,15.0
OD6855988596,19.0
OD6032110823,10.0
OD2811090059,17.0
OD3307376121,23.0
OD5366617450,19.0
OD7793269090,21.0
OD1567760434,12.0
OD3535043964,15.0
OD5335140218,19.0
OD6552407987,4.0
OD3422183953,17.0
OD7074010959,11.0
OD3040432239,15.0
OD0404451112,8.0
OD9115664056,10.0
OD7661855117,22.0
OD9160388363,20.0
OD3614186604,23.0
OD8095396439,18.0
OD7728752484,21.0
OD4340407130,14.0
OD5414038656,14.0
OD4705826584,7.0
OD6267586446,18.0
OD6264106805,13.0
OD2998422747,9.0
OD2202322113,13.0
OD5025617758,9.0
OD5152162173,10.0
OD7142954423,13.0
OD4089158492,12.0
OD9092697002,18.0
OD4140612470,4.0
OD8596671752,14.0
OD0648176242,8.0
OD8531194784,8.0
OD2082767533,10.0
OD5308783932,15.0
OD2766695720,22.0
OD5302698272,12.0
OD2749097951,16.0
OD9161486040,20.0
OD9528457948,6.0
OD7996281853,19.0
OD2227700974,21.0
OD5582476808,14.0
OD3640975759,22.0
OD7427988204,22.0
OD8026941464,10.0
OD8554013839,12.0
OD2586564169,13.0
OD7893716270,12.0
OD8644176732,15.0
OD9549028597,8.0
OD0586155063,9.0
OD8366052521,14.0
OD9439712771,7.0
OD7990781101,11.0
OD9042762293,15.0
OD3842758448,15.0
OD7502396019,23.0
OD4930192616,15.0
OD4165869222,14.0
OD4425673163,6.0
OD9108048047,22.0
OD9937506002,9.0
OD5068632031,15.0
OD7579719489,9.0
OD3273534392,23.0
OD4637574111,17.0
OD9667452222,19.0
OD8687012250,23.0
OD2429660759,20.0
OD1814019016,23.0
OD4161287103,11.0
OD1008334757,23.0
OD4111231796,6.0
OD3445232838,13.0
OD9334418454,20.0
OD1205410589,7.0
OD8428848226,9.0
OD1824188386,9.0
OD0320694725,21.0
OD1179950704,11.0
OD3706904539,17.0
OD1294365951,4.0
OD7404641788,8.0
OD3643951803,7.0
OD2457696808,10.0
OD4751111222,7.0
OD0544896375,5.0
OD1323178408,20.0
OD3042627698,10.0
OD2079680485,11.0
OD1609390032,7.0
OD8159547716,11.0
OD3172385014,9.0
OD7722907665,20.0
OD6755898104,19.0
OD5559298660,19.0
OD6658490485,20.0
OD2854489595,14.0
OD0670582620,13.0
OD8301102700,4.0
OD3040698135,6.0
OD8520796056,20.0
OD8137825343,14.0
OD3405626427,16.0
OD8380678842,12.0
OD7628263811,7.0
OD5165239755,12.0
OD3282549207,22.0
OD2581910555,7.0
OD6027195883,19.0
OD5140133169,4.0
OD0603669833,19.0
OD9698844936,21.0
OD7919291668,6.0
OD0357522694,13.0
OD7825857507,16.0
OD9459881999,12.0
OD5488203120,23.0
OD8600451698,4.0
OD6190542721,13.0
OD0958521852,6.0
OD6686616791,18.0
OD0882784109,13.0
OD5152898580,7.0
OD3328241234,14.0
OD7245940801,12.0
OD4222229643,22.0
OD3984455217,16.0
OD9435744793,4.0
OD7433352285,18.0
OD9451451409,16.0
OD2749959505,21.0
OD5949831090,14.0
OD5792435825,6.0
OD8217614523,9.0
OD9907845499,20.0
OD4702842591,23.0
OD6729936338,22.0
OD1190436926,12.0
OD8383916000,10.0
OD3266530931,14.0
OD7103674705,6.0
OD8718530892,19.0
OD3586666372,14.0
OD1822917810,17.0
OD9652234729,5.0
OD0261966727,12.0
OD2757639308,12.0
OD1555773768,12.0
OD1417430329,17.0
OD0244705815,11.0
OD8889287796,20.0
OD8943500244,12.0
OD3032083982,18.0
OD7511604166,15.0
OD6333386740,20.0
OD7802401208,22.0
OD2530937500,5.0
OD2286588202,14.0
OD8027247632,4.0
OD8313405309,20.0
OD8748058287,14.0
OD3765238653,21.0
OD0743048820,21.0
OD1310125482,14.0
OD1192800435,22.0
OD2512911916,21.0
OD4631349440,11.0
OD2372240630,20.0
OD4959469025,14.0
OD4256465664,19.0
OD0124856037,22.0
OD9538788387,13.0
OD0636280077,21.0
OD9293902026,10.0
OD9842627917,14.0
OD8480341563,5.0
OD4900430041,17.0
OD1072840108,9.0
OD3308088878,7.0
OD5260794630,17.0
OD1475997647,10.0
OD7556765687,23.0
OD3792052222,7.0
OD1184849885,12.0
OD8874999957,17.0
OD2342362690,13.0
OD6587806354,22.0
OD5049063328,15.0
OD1611233577,21.0
OD1702616672,22.0
OD7401319404,20.0
OD1408833825,14.0
OD6758046297,14.0
OD9070819250,5.0
OD5239423801,5.0
OD5520982486,23.0
OD2443746222,19.0
OD8573997996,13.0
OD7484777425,18.0
OD5271482524,13.0
OD1823872497,11.0
OD3375991205,18.0
OD6037558272,20.0
OD8654775322,4.0
OD1938015046,23.0
OD4911200652,13.0
OD4335536300,18.0
OD1044421377,9.0
OD5005179531,21.0
OD8435010986,7.0
OD4836217898,23.0
OD7221253491,20.0
OD6834752865,18.0
OD9909771909,11.0
OD6585709281,14.0
OD9519205367,4.0
OD2674328486,23.0
OD2038765963,20.0
OD1728132193,11.0
OD9829702650,8.0
OD0697197982,4.0
OD1817369821,11.0
OD7762393020,19.0
OD0278363043,13.0
OD3772187889,15.0
OD5461409981,4.0
OD9871264234,18.0
OD3611345619,8.0
OD1158175387,4.0
OD5307327256,16.0
OD5885551638,22.0
OD2354330677,14.0
OD8704982354,19.0
OD0846784654,16.0
OD2782824039,16.0
OD3781194415,4.0
OD1204179168,7.0
OD6311265989,5.0
OD2812957754,13.0
OD5992145248,23.0
OD8440330252,5.0
OD3653756768,13.0
OD1923379741,7.0
OD5320988474,6.0
OD0980016799,16.0
OD2969931583,23.0
OD7915946246,6.0
OD7439036789,23.0
OD9217647352,12.0
OD1942988782,19.0
OD4398065267,4.0
OD7438639929,23.0
OD0871389201,9.0
OD7171998413,5.0
OD5978084416,22.0
OD0665594585,5.0
OD0966523263,16.0
OD2006910762,6.0
OD5670158444,18.0
OD7948400161,22.0
OD2636928003,15.0
OD5142785381,5.0
OD2134627023,10.0
OD5547634021,15.0
OD4062464704,22.0
OD6889411054,10.0
OD5329953120,5.0
OD5992692955,8.0
OD2630888185,9.0
OD9707866668,19.0
OD9427615709,8.0
OD0596408054,23.0
OD8954066470,14.0
OD1668980360,6.0
OD4998437693,13.0
OD2504935604,15.0
OD9700876161,14.0
OD1956148853,5.0
OD5357914788,23.0
OD2507963601,20.0
OD2278344496,23.0
OD9215413941,4.0
OD6512136986,4.0
OD2935136983,16.0
OD9534901188,19.0
OD8987962204,13.0
OD6455135948,11.0
OD5797586652,16.0
OD5079466917,4.0
OD1419722013,10.0
OD0188878211,20.0
OD5441373700,20.0
OD6544726542,15.0
OD5573156592,19.0
OD2958382039,4.0
OD6217058065,11.0
OD1762474158,8.0
OD3084506074,4.0
OD3304683031,9.0
OD8199350660,19.0
OD9654398087,9.0
OD5411567266,7.0
OD0219582167,6.0
OD6693217972,23.0
OD5410654214,16.0
OD6086998456,21.0
OD3596694123,12.0
OD9123372717,20.0
OD0713718066,22.0
OD0232513156,15.0
OD4965873495,13.0
OD1470208680,9.0
OD3690806692,14.0
OD0480384929,12.0
OD5385202479,14.0
OD2088483386,6.0
OD2232672494,13.0
OD3655528508,23.0
OD2972574708,23.0
OD1003435349,21.0
OD0366617306,16.0
OD2471497432,9.0
OD0411553673,15.0
OD2311355962,9.0
OD5015850151,13.0
OD4086104483,11.0
OD9086716403,14.0
OD7760228018,10.0
OD3396073551,22.0
OD2676070209,22.0
OD9627200089,10.0
OD5658098206,7.0
OD5687326290,22.0
OD5671313422,16.0
OD3871437823,5.0
OD6747160099,5.0
OD6999142213,19.0
OD2986015432,23.0
OD1999026638,4.0
OD9573166462,5.0
OD1534932725,9.0
OD1019860765,19.0
OD7730263366,10.0
OD0596562965,20.0
OD4106753510,20.0
OD5694499621,15.0
OD3833420995,23.0
OD8887100964,4.0
OD2160349701,12.0
OD6789567442,10.0
OD5305101998,5.0
OD6738820972,16.0
OD4719083813,20.0
OD2605617403,7.0
OD5777738291,15.0
OD2445741414,8.0
OD3161828231,5.0
OD8250889267,10.0
OD6699865427,11.0
OD3111197366,8.0
OD3108146092,15.0
OD5634739171,20.0
OD0818712495,7.0
OD4472026484,19.0
OD2614370796,20.0
OD3457780855,18.0
OD0618250190,22.0
OD5256528747,10.0
OD4484721542,10.0
OD0146769085,23.0
OD4580574579,15.0
OD8897200583,5.0
OD5951603369,19.0
OD9103876628,17.0
OD6471779847,11.0
OD3526656180,10.0
OD1387496249,20.0
OD3071247692,7.0
OD0052435490,7.0
OD0099057902,22.0
OD5965089827,19.0
OD1713560275,4.0
OD7724000300,9.0
OD5860135478,12.0
OD2661612694,4.0
OD2180152913,8.0
OD2715839525,20.0
OD1669772215,4.0
OD2895048390,18.0
OD8506686768,13.0
OD3450567332,4.0
OD0947109292,9.0
OD8449993246,5.0
OD0681573058,19.0
OD5270371310,8.0
OD8839773164,18.0
OD0296345556,4.0
OD5051438393,11.0
OD7688699556,19.0
OD0370658151,11.0
OD1174116134,13.0
OD8413899866,10.0
OD6484809663,8.0
OD5838834447,23.0
OD3039808466,16.0
OD1981192374,20.0
OD8639503283,5.0
OD7510687980,6.0
OD5694470758,10.0
OD7518787857,6.0
OD0431131885,22.0
OD0290647314,21.0
OD2405075030,17.0
OD9400331693,17.0
OD8538386819,19.0
OD1992037342,5.0
OD4459223646,13.0
OD2546736146,17.0
OD6824729788,19.0
OD8090280177,15.0
OD0798221066,13.0
OD0681047556,7.0
OD3631989393,5.0
OD8274751878,18.0
OD9568130331,20.0
OD1667688723,20.0
OD4794203326,21.0
OD1324390249,7.0
OD9686874581,14.0
OD7284664200,12.0
OD1273242434,18.0
OD4101562907,5.0
OD6873793380,15.0
OD1560068731,9.0
OD7899960334,7.0
OD8867732329,8.0
OD0128642660,22.0
OD9757340534,16.0
OD8134176895,22.0
OD7670068873,22.0
OD0467228921,4.0
OD7065864611,6.0
OD7766286448,14.0
OD2405413128,15.0
OD1828317645,16.0
OD3375683166,7.0
