날짜,품목명,도매시장,생산지,단량당 금액,거래량(kg)
2024-08-01,사과,서울강서,경상북도 군위군,17442.85714285714,1420
2024-08-01,사과,서울강서,경상북도 김천시,12000.0,7
2024-08-01,사과,서울강서,경상북도 봉화군,21482.352941176472,724
2024-08-01,사과,서울강서,경상북도 상주시,56500.0,304
2024-08-01,사과,서울강서,경상북도 안동시,18100.0,481
2024-08-01,사과,서울강서,경상북도 영주시,22100.0,225
2024-08-01,사과,서울강서,경상북도 의성군,3142.8571428571427,93
2024-08-01,사과,서울강서,서울 강서구,17500.0,39
2024-08-01,사과,서울강서,서울 중구,13218.75,1040
2024-08-01,사과,서울강서,인천광역시 강화군,48000.0,1
2024-08-01,사과,서울강서,전라남도 무안군,15125.0,522
2024-08-01,사과,서울강서,전라남도 영암군,25000.0,37
2024-08-01,사과,서울강서,전라북도 전주시,31071.428571428572,56
2024-08-01,사과,서울강서,전라북도 진안군,16571.428571428572,1656
2024-08-01,사과,서울강서,중국,13340.90909090909,559
2024-08-01,사과,서울강서,충청남도 당진시,13227.272727272728,28
2024-08-01,사과,서울강서,충청남도 부여군,8307.692307692309,155
2024-08-01,사과,서울강서,충청남도 아산시,15000.0,8
2024-08-01,사과,서울강서,충청남도 예산군,17166.666666666668,85
2024-08-01,사과,서울강서,충청남도 천안시,25928.571428571428,78
2024-08-01,사과,서울강서,충청북도 영동군,19750.0,60
2024-08-01,사과,서울강서,충청북도 제천시,26250.0,237
2024-08-01,사과,서울강서,충청북도 진천군,24800.0,112
2024-08-01,사과,서울강서,충청북도 충주시,9833.333333333334,377
2024-11-01,사과,서울강서,강원도 철원군,9083.333333333334,32
2024-11-01,사과,서울강서,강원도 춘천시,12800.0,500
2024-11-01,사과,서울강서,강원도 평창군,24431.37254901961,1696
2024-11-01,사과,서울강서,강원도 홍천군,25090.909090909092,422
2024-11-01,사과,서울강서,강원도 횡성군,12809.09090909091,1445
2024-11-01,사과,서울강서,경기도 고양시,4000.0,13
2024-11-01,사과,서울강서,경기도 안산시,36000.0,10
2024-11-01,사과,서울강서,경기도 안성시,25896.55172413793,531
2024-11-01,사과,서울강서,경기도 양주시,33000.0,26
2024-11-01,사과,서울강서,경기도 양평군,8675.0,490
2024-11-01,사과,서울강서,경기도 여주군,11100.0,548
2024-11-01,사과,서울강서,경기도 연천군,23925.0,1094
2024-11-01,사과,서울강서,경기도 파주시,27283.333333333332,120
2024-11-01,사과,서울강서,경기도 평택시,34961.53846153846,213
2024-11-01,사과,서울강서,경기도 포천시,28683.333333333332,104
2024-11-01,사과,서울강서,경상남도 거창군,40875.0,132
2024-11-01,사과,서울강서,경상남도 하동군,12000.0,50
2024-11-01,사과,서울강서,경상북도 안동시,31250.0,378
2024-11-01,사과,서울강서,경상북도 영양군,13687.5,215
2024-11-01,사과,서울강서,경상북도 영주시,41239.393939393936,716
2024-11-01,사과,서울강서,경상북도 영천시,27000.0,12
2024-11-01,사과,서울강서,광주광역시 광산구,37666.666666666664,13
2024-11-01,사과,서울강서,부산 강서구,12500.0,160
2024-11-01,사과,서울강서,서울 강서구,11512.5,156
2024-11-01,사과,서울강서,인천광역시 강화군,40625.0,16
2024-11-01,사과,서울강서,전라남도 고흥군,10200.0,124
2024-11-01,사과,서울강서,전라남도 광양시,11125.0,100
2024-11-01,사과,서울강서,전라남도 무안군,14728.0,1853
2024-11-01,사과,서울강서,전라남도 영암군,22000.0,18
2024-11-01,사과,서울강서,전라북도 고창군,10876.470588235294,2888
2024-11-01,사과,서울강서,전라북도 부안군,4800.0,700
2024-11-01,사과,서울강서,전라북도 전주시,38047.619047619046,102
2024-11-01,사과,서울강서,제주도 제주시,12250.0,34
2024-11-01,사과,서울강서,중국,9625.0,120
2024-11-01,사과,서울강서,충청남도 논산시,10666.666666666666,281
2024-11-01,사과,서울강서,충청남도 부여군,35941.17647058824,137
2024-11-01,사과,서울강서,충청남도 서산시,9525.0,994
2024-11-01,사과,서울강서,충청남도 아산시,30000.0,95
2024-11-01,사과,서울강서,충청남도 천안시,47852.94117647059,168
2024-11-01,사과,서울강서,충청북도 진천군,41071.42857142857,97
2024-11-01,사과,서울강서,충청북도 충주시,25136.363636363636,167
